,P,Exp P,Log P,Log Exp P
82,0.002579735,0.003745318352059925,2.588,2.427
41,0.0026729688924372,0.00749063670411985,2.573,2.125
89,0.009032481,0.011235955056179775,2.044,1.949
38,0.01234906,0.0149812734082397,1.908,1.824
112,0.02182327,0.018726591760299626,1.661,1.728
65,0.02845873,0.02247191011235955,1.546,1.648
5,0.0296489099999999,0.026217228464419477,1.528,1.581
158,0.0397344300000001,0.0299625468164794,1.401,1.523
244,0.0419866100000002,0.033707865168539325,1.377,1.472
126,0.0516023699999998,0.03745318352059925,1.287,1.427
10,0.0543234200000001,0.04119850187265917,1.265,1.385
144,0.0583629100000001,0.0449438202247191,1.234,1.347
149,0.0645081199999999,0.04868913857677903,1.19,1.313
206,0.0689175999999998,0.052434456928838954,1.162,1.28
250,0.0855452599999997,0.056179775280898875,1.068,1.25
43,0.0987200316434271,0.0599250936329588,1.006,1.222
256,0.111082039268479,0.06367041198501873,0.954,1.196
32,0.147845917612191,0.06741573033707865,0.83,1.171
225,0.166839,0.07116104868913857,0.778,1.148
161,0.1689214,0.0749063670411985,0.772,1.125
6,0.179857320723836,0.07865168539325842,0.745,1.104
156,0.1966322,0.08239700374531835,0.706,1.084
31,0.2177495,0.08614232209737828,0.662,1.065
163,0.2388528,0.0898876404494382,0.622,1.046
148,0.265105613089867,0.09363295880149813,0.577,1.029
117,0.269189545941059,0.09737827715355805,0.57,1.012
27,0.3073602,0.10112359550561797,0.512,0.995
78,0.308060609355969,0.10486891385767791,0.511,0.979
227,0.320045742281781,0.10861423220973783,0.495,0.964
9,0.3323813,0.11235955056179775,0.478,0.949
204,0.3511634,0.11610486891385768,0.454,0.935
223,0.351410405473272,0.1198501872659176,0.454,0.921
24,0.3557424,0.12359550561797752,0.449,0.908
207,0.358562641563895,0.12734082397003746,0.445,0.895
221,0.3715412,0.13108614232209737,0.43,0.882
162,0.371744274508498,0.1348314606741573,0.43,0.87
13,0.382904509819605,0.13857677902621723,0.417,0.858
77,0.39009493131016,0.14232209737827714,0.409,0.847
131,0.394917912697496,0.14606741573033707,0.403,0.835
264,0.406222847201011,0.149812734082397,0.391,0.824
