,P,Exp P,Log P,Log Exp P
6,0.2045254,0.0625,0.689,1.204
11,0.3731257,0.125,0.428,0.903
15,0.3851079,0.1875,0.414,0.727
13,0.4594181,0.25,0.338,0.602
9,0.4646648,0.3125,0.333,0.505
10,0.4909319,0.375,0.309,0.426
4,0.5009568,0.4375,0.3,0.359
14,0.5023041,0.5,0.299,0.301
7,0.5428165,0.5625,0.265,0.25
5,0.5504257,0.625,0.259,0.204
2,0.5517552,0.6875,0.258,0.163
12,0.5655874,0.75,0.248,0.125
3,0.5713326,0.8125,0.243,0.09
1,0.6131956,0.875,0.212,0.058
0,0.6166626,0.9375,0.21,0.028
8,0.6452412,1.0,0.19,-0.0
