,P,Exp P,Log P,Log Exp P
133,0.0002816862617636,0.0035714285714285713,3.55,2.447
24,0.0010022316514181,0.007142857142857143,2.999,2.146
98,0.0018322186335827,0.010714285714285714,2.737,1.97
171,0.0026001711455301,0.014285714285714285,2.585,1.845
198,0.0045561222200983,0.017857142857142856,2.341,1.748
141,0.0045647776520747,0.02142857142857143,2.341,1.669
89,0.0047905846399648,0.025,2.32,1.602
66,0.0070333708637642,0.02857142857142857,2.153,1.544
162,0.0109966246706713,0.03214285714285714,1.959,1.493
214,0.0141345259403725,0.03571428571428571,1.85,1.447
65,0.0190975056771943,0.039285714285714285,1.719,1.406
222,0.0274456614318359,0.04285714285714286,1.562,1.368
80,0.027801395067468,0.04642857142857143,1.556,1.333
248,0.0313572317643145,0.05,1.504,1.301
18,0.0389121631431803,0.05357142857142857,1.41,1.271
53,0.0390017549048085,0.05714285714285714,1.409,1.243
183,0.0391228706637782,0.060714285714285714,1.408,1.217
172,0.0398353346705928,0.06428571428571428,1.4,1.192
215,0.0456384823360062,0.06785714285714285,1.341,1.168
99,0.0461849074951056,0.07142857142857142,1.335,1.146
50,0.0470838053653309,0.075,1.327,1.125
83,0.0489176989766826,0.07857142857142857,1.311,1.105
91,0.0523071028318209,0.08214285714285714,1.281,1.085
234,0.0616127787823452,0.08571428571428572,1.21,1.067
277,0.064156205478229,0.08928571428571429,1.193,1.049
271,0.0707653251465541,0.09285714285714286,1.15,1.032
15,0.0779737071679356,0.09642857142857143,1.108,1.016
68,0.0796247059478761,0.1,1.099,1.0
1,0.0833680374882424,0.10357142857142858,1.079,0.985
72,0.084214935118906,0.10714285714285714,1.075,0.97
56,0.0878832873514248,0.11071428571428571,1.056,0.956
31,0.0880057959199528,0.11428571428571428,1.055,0.942
181,0.089713772522176,0.11785714285714285,1.047,0.929
228,0.0914229500053813,0.12142857142857143,1.039,0.916
74,0.0954758218159794,0.125,1.02,0.903
270,0.100840684037784,0.12857142857142856,0.996,0.891
254,0.116847522209174,0.13214285714285715,0.932,0.879
28,0.12299318565809,0.1357142857142857,0.91,0.867
247,0.130938602618854,0.1392857142857143,0.883,0.856
71,0.133110018297893,0.14285714285714285,0.876,0.845
107,0.134187124691824,0.14642857142857144,0.872,0.834
201,0.136700058080993,0.15,0.864,0.824
11,0.14143080177237,0.15357142857142858,0.849,0.814
85,0.142432417245294,0.15714285714285714,0.846,0.804
81,0.142621473031529,0.16071428571428573,0.846,0.794
213,0.151012183641899,0.16428571428571428,0.821,0.784
6,0.157960643459699,0.16785714285714284,0.801,0.775
130,0.160748347130009,0.17142857142857143,0.794,0.766
179,0.16560920221537,0.175,0.781,0.757
41,0.169156414968217,0.17857142857142858,0.772,0.748
231,0.171264541517575,0.18214285714285713,0.766,0.74
3,0.172887065355037,0.18571428571428572,0.762,0.731
240,0.174734355487806,0.18928571428571428,0.758,0.723
268,0.176543896817728,0.19285714285714287,0.753,0.715
173,0.178605437812083,0.19642857142857142,0.748,0.707
177,0.179120457345426,0.2,0.747,0.699
128,0.180193502834787,0.20357142857142857,0.744,0.691
136,0.181873653909225,0.20714285714285716,0.74,0.684
115,0.186458124103982,0.21071428571428572,0.729,0.676
111,0.191056881418004,0.21428571428571427,0.719,0.669
60,0.191203638126514,0.21785714285714286,0.719,0.662
202,0.192998676845931,0.22142857142857142,0.714,0.655
47,0.195565481215191,0.225,0.709,0.648
168,0.202277793869983,0.22857142857142856,0.694,0.641
245,0.20445646645571,0.23214285714285715,0.689,0.634
79,0.204821938833119,0.2357142857142857,0.689,0.628
116,0.209147427034475,0.2392857142857143,0.68,0.621
225,0.222430223154573,0.24285714285714285,0.653,0.615
223,0.224869009343299,0.24642857142857144,0.648,0.608
30,0.225961760001989,0.25,0.646,0.602
229,0.236785274336962,0.25357142857142856,0.626,0.596
259,0.240457759901847,0.2571428571428571,0.619,0.59
