,P,Exp P,Log P,Log Exp P
18,0.04668348,0.047619047619047616,1.331,1.322
5,0.05557162,0.09523809523809523,1.255,1.021
10,0.05610563,0.14285714285714285,1.251,0.845
14,0.1468263,0.19047619047619047,0.833,0.72
19,0.156093,0.23809523809523808,0.807,0.623
8,0.1858668,0.2857142857142857,0.731,0.544
2,0.1890876,0.3333333333333333,0.723,0.477
0,0.1987773,0.38095238095238093,0.702,0.419
7,0.2773532,0.42857142857142855,0.557,0.368
11,0.2894836,0.47619047619047616,0.538,0.322
12,0.3332776,0.5238095238095238,0.477,0.281
6,0.4795943,0.5714285714285714,0.319,0.243
13,0.5550819,0.6190476190476191,0.256,0.208
3,0.6082199,0.6666666666666666,0.216,0.176
16,0.6340137,0.7142857142857143,0.198,0.146
17,0.6546284,0.7619047619047619,0.184,0.118
1,0.7774463,0.8095238095238095,0.109,0.092
9,0.7777051,0.8571428571428571,0.109,0.067
15,0.8555134,0.9047619047619048,0.068,0.043
4,0.8584684,0.9523809523809523,0.066,0.021
20,0.9847778,1.0,0.007,-0.0
