,P,Exp P,Log P,Log Exp P
105,1.88008381121385e-05,0.003676470588235294,4.726,2.435
212,0.003735387062986,0.007352941176470588,2.428,2.134
121,0.0050018975000632,0.011029411764705883,2.301,1.957
175,0.0091049429210146,0.014705882352941176,2.041,1.833
182,0.0108919202530852,0.01838235294117647,1.963,1.736
50,0.0130791833548826,0.022058823529411766,1.883,1.656
171,0.0150671623194972,0.025735294117647058,1.822,1.589
12,0.0187591950441238,0.029411764705882353,1.727,1.531
222,0.0201717823412675,0.03308823529411765,1.695,1.48
241,0.0214004997162515,0.03676470588235294,1.67,1.435
144,0.0251127360005994,0.04044117647058824,1.6,1.393
134,0.0282574798940055,0.04411764705882353,1.549,1.355
29,0.0351823799730148,0.04779411764705882,1.454,1.321
13,0.0401441373844995,0.051470588235294115,1.396,1.288
70,0.0416070594143405,0.05514705882352941,1.381,1.258
153,0.0472040847233374,0.058823529411764705,1.326,1.23
164,0.0618656244974091,0.0625,1.209,1.204
51,0.0648368736578174,0.0661764705882353,1.188,1.179
139,0.0665876711209391,0.06985294117647059,1.177,1.156
23,0.0773976104830524,0.07352941176470588,1.111,1.134
114,0.0786336473364497,0.07720588235294118,1.104,1.112
112,0.0881469293934004,0.08088235294117647,1.055,1.092
143,0.0954777736966925,0.08455882352941177,1.02,1.073
33,0.098067194170051,0.08823529411764706,1.008,1.054
218,0.102261676873107,0.09191176470588236,0.99,1.037
138,0.106969524491063,0.09558823529411764,0.971,1.02
0,0.107827385598828,0.09926470588235294,0.967,1.003
162,0.108361106287372,0.10294117647058823,0.965,0.987
89,0.110391952280309,0.10661764705882353,0.957,0.972
83,0.114152248543292,0.11029411764705882,0.943,0.957
239,0.114352520960573,0.11397058823529412,0.942,0.943
194,0.127519727458624,0.11764705882352941,0.894,0.929
145,0.136685858466734,0.1213235294117647,0.864,0.916
196,0.138398803137615,0.125,0.859,0.903
226,0.142187633058319,0.12867647058823528,0.847,0.891
199,0.144654712805756,0.1323529411764706,0.84,0.878
2,0.14983548465517,0.13602941176470587,0.824,0.866
190,0.156098509294441,0.13970588235294118,0.807,0.855
59,0.158802866955583,0.14338235294117646,0.799,0.844
124,0.161254462267686,0.14705882352941177,0.792,0.833
109,0.163878522521706,0.15073529411764705,0.785,0.822
27,0.16428138553759,0.15441176470588236,0.784,0.811
151,0.164590097536939,0.15808823529411764,0.784,0.801
108,0.166448561718617,0.16176470588235295,0.779,0.791
257,0.167042328974561,0.16544117647058823,0.777,0.781
267,0.167725062714781,0.16911764705882354,0.775,0.772
181,0.168752286386833,0.17279411764705882,0.773,0.762
8,0.176961000636355,0.17647058823529413,0.752,0.753
25,0.180692520736238,0.1801470588235294,0.743,0.744
178,0.18445197800484,0.18382352941176472,0.734,0.736
176,0.186843926686648,0.1875,0.729,0.727
60,0.193266904913223,0.19117647058823528,0.714,0.719
227,0.195512795210399,0.1948529411764706,0.709,0.71
170,0.196693092322037,0.19852941176470587,0.706,0.702
65,0.198644451862381,0.20220588235294118,0.702,0.694
36,0.200913563857896,0.20588235294117646,0.697,0.686
68,0.209959533490749,0.20955882352941177,0.678,0.679
131,0.213023130992427,0.21323529411764705,0.672,0.671
220,0.21572063849426,0.21691176470588236,0.666,0.664
64,0.223907486234215,0.22058823529411764,0.65,0.656
216,0.224870127457304,0.22426470588235295,0.648,0.649
177,0.234950667072045,0.22794117647058823,0.629,0.642
255,0.238171056017719,0.23161764705882354,0.623,0.635
258,0.238950777687493,0.23529411764705882,0.622,0.628
58,0.24304874899017,0.23897058823529413,0.614,0.622
183,0.249147535225226,0.2426470588235294,0.604,0.615
264,0.250636555242313,0.24632352941176472,0.601,0.608
245,0.252013091625921,0.25,0.599,0.602
186,0.252719097507854,0.2536764705882353,0.597,0.596
130,0.253342147793579,0.25735294117647056,0.596,0.589
6,0.254830079135082,0.2610294117647059,0.594,0.583
91,0.255693413341074,0.2647058823529412,0.592,0.577
163,0.258561762582025,0.26838235294117646,0.587,0.571
235,0.259033794819823,0.27205882352941174,0.587,0.565
113,0.266105863254589,0.2757352941176471,0.575,0.56
7,0.278234251010052,0.27941176470588236,0.556,0.554
152,0.284629510346808,0.28308823529411764,0.546,0.548
261,0.287372679551611,0.2867647058823529,0.542,0.542
137,0.289548534714335,0.29044117647058826,0.538,0.537
61,0.290488518011032,0.29411764705882354,0.537,0.531
132,0.290769407446273,0.2977941176470588,0.536,0.526
215,0.291433308607966,0.3014705882352941,0.535,0.521
96,0.292868607291952,0.30514705882352944,0.533,0.515
148,0.293752539227151,0.3088235294117647,0.532,0.51
155,0.296282228344359,0.3125,0.528,0.505
206,0.297730473645678,0.3161764705882353,0.526,0.5
135,0.301195984833114,0.31985294117647056,0.521,0.495
128,0.302728598098042,0.3235294117647059,0.519,0.49
266,0.303105710137737,0.3272058823529412,0.518,0.485
34,0.303898773887198,0.33088235294117646,0.517,0.48
4,0.304620375295284,0.33455882352941174,0.516,0.476
147,0.306121724128781,0.3382352941176471,0.514,0.471
49,0.315823421982352,0.34191176470588236,0.501,0.466
32,0.3172702217992,0.34558823529411764,0.499,0.461
37,0.317907291329383,0.3492647058823529,0.498,0.457
225,0.317962932621731,0.35294117647058826,0.498,0.452
48,0.318078973440242,0.35661764705882354,0.497,0.448
167,0.319538770692268,0.3602941176470588,0.495,0.443
203,0.320724166254893,0.3639705882352941,0.494,0.439
43,0.321933028620194,0.36764705882352944,0.492,0.435
232,0.32340631167734,0.3713235294117647,0.49,0.43
187,0.325033173832461,0.375,0.488,0.426
263,0.339979656318533,0.3786764705882353,0.469,0.422
208,0.34068196140273,0.38235294117647056,0.468,0.418
3,0.346428294314509,0.3860294117647059,0.46,0.413
251,0.349104948268397,0.3897058823529412,0.457,0.409
166,0.354866430458652,0.39338235294117646,0.45,0.405
38,0.35768903450663,0.39705882352941174,0.446,0.401
141,0.358788508783896,0.4007352941176471,0.445,0.397
221,0.368598184924379,0.40441176470588236,0.433,0.393
179,0.378027326633949,0.40808823529411764,0.422,0.389
169,0.385203656883776,0.4117647058823529,0.414,0.385
97,0.385352166343736,0.41544117647058826,0.414,0.381
103,0.388410290821772,0.41911764705882354,0.411,0.378
270,0.389405491621294,0.4227941176470588,0.41,0.374
63,0.393933761445577,0.4264705882352941,0.405,0.37
161,0.394936461917406,0.43014705882352944,0.403,0.366
94,0.396220085264777,0.4338235294117647,0.402,0.363
107,0.396579758718817,0.4375,0.402,0.359
262,0.397654333741994,0.4411764705882353,0.4,0.355
82,0.398511573134833,0.44485294117647056,0.4,0.352
192,0.399084829246374,0.4485294117647059,0.399,0.348
174,0.399960314263829,0.4522058823529412,0.398,0.345
56,0.409408943308951,0.45588235294117646,0.388,0.341
158,0.4115937707171,0.45955882352941174,0.386,0.338
240,0.418994279426302,0.4632352941176471,0.378,0.334
77,0.426665523772647,0.46691176470588236,0.37,0.331
126,0.428506167286761,0.47058823529411764,0.368,0.327
230,0.432653604128787,0.4742647058823529,0.364,0.324
20,0.434831612637673,0.47794117647058826,0.362,0.321
159,0.435545619074728,0.48161764705882354,0.361,0.317
57,0.445538346014828,0.4852941176470588,0.351,0.314
9,0.455875626406255,0.4889705882352941,0.341,0.311
165,0.458661334248219,0.49264705882352944,0.339,0.307
67,0.462520093721292,0.4963235294117647,0.335,0.304
16,0.462553883050571,0.5,0.335,0.301
46,0.463513361095708,0.5036764705882353,0.334,0.298
115,0.468215001986359,0.5073529411764706,0.33,0.295
127,0.470009044601314,0.5110294117647058,0.328,0.292
256,0.473757712807114,0.5147058823529411,0.324,0.288
209,0.480373934391237,0.5183823529411765,0.318,0.285
185,0.500095716342224,0.5220588235294118,0.301,0.282
214,0.505403793220022,0.5257352941176471,0.296,0.279
69,0.506855978801334,0.5294117647058824,0.295,0.276
30,0.507878415764763,0.5330882352941176,0.294,0.273
172,0.509921755111343,0.5367647058823529,0.292,0.27
98,0.510354619083414,0.5404411764705882,0.292,0.267
202,0.514641034327972,0.5441176470588235,0.288,0.264
17,0.516536481820519,0.5477941176470589,0.287,0.261
72,0.521655686787423,0.5514705882352942,0.283,0.258
234,0.529689788123291,0.5551470588235294,0.276,0.256
252,0.532347761753126,0.5588235294117647,0.274,0.253
133,0.547535873449397,0.5625,0.262,0.25
40,0.554868345009639,0.5661764705882353,0.256,0.247
265,0.561463122750203,0.5698529411764706,0.251,0.244
207,0.5759294611383,0.5735294117647058,0.24,0.241
243,0.576331867387702,0.5772058823529411,0.239,0.239
120,0.57930484091047,0.5808823529411765,0.237,0.236
197,0.581939622477342,0.5845588235294118,0.235,0.233
198,0.591427976765359,0.5882352941176471,0.228,0.23
99,0.593768509537859,0.5919117647058824,0.226,0.228
253,0.60509605435018,0.5955882352941176,0.218,0.225
39,0.605314297980766,0.5992647058823529,0.218,0.222
188,0.607580997988769,0.6029411764705882,0.216,0.22
125,0.607595790628668,0.6066176470588235,0.216,0.217
149,0.607829120534483,0.6102941176470589,0.216,0.214
237,0.609883316739034,0.6139705882352942,0.215,0.212
22,0.620354394413193,0.6176470588235294,0.207,0.209
101,0.627290056323968,0.6213235294117647,0.203,0.207
238,0.629598273428902,0.625,0.201,0.204
122,0.633550810581127,0.6286764705882353,0.198,0.202
142,0.63437720717873,0.6323529411764706,0.198,0.199
42,0.640436896900703,0.6360294117647058,0.194,0.197
45,0.641522742594489,0.6397058823529411,0.193,0.194
193,0.641633029788612,0.6433823529411765,0.193,0.192
191,0.642742219509155,0.6470588235294118,0.192,0.189
154,0.643447430246214,0.6507352941176471,0.191,0.187
87,0.647182659333884,0.6544117647058824,0.189,0.184
26,0.649350531523477,0.6580882352941176,0.188,0.182
268,0.64988738529411,0.6617647058823529,0.187,0.179
62,0.660649415391856,0.6654411764705882,0.18,0.177
229,0.66277983401411,0.6691176470588235,0.179,0.174
223,0.668734671930592,0.6727941176470589,0.175,0.172
