,P,Exp P,Log P,Log Exp P
7,0.09547777,0.05,1.02,1.301
4,0.1158549,0.1,0.936,1.0
3,0.1355205,0.15,0.868,0.824
6,0.154417,0.2,0.811,0.699
5,0.2099595,0.25,0.678,0.602
13,0.2263549,0.3,0.645,0.523
10,0.2644766,0.35,0.578,0.456
8,0.284532,0.4,0.546,0.398
12,0.3150233,0.45,0.502,0.347
16,0.4757499,0.5,0.323,0.301
9,0.481114,0.55,0.318,0.26
0,0.5578957,0.6,0.253,0.222
18,0.6040208,0.65,0.219,0.187
15,0.6597496,0.7,0.181,0.155
14,0.6615707,0.75,0.179,0.125
2,0.6845854,0.8,0.165,0.097
11,0.868251,0.85,0.061,0.071
17,0.9259409,0.9,0.033,0.046
1,0.951521,0.95,0.022,0.022
19,0.9631635,1.0,0.016,-0.0
