,P,Exp P,Log P,Log Exp P
157,0.046171979961574,0.0035842293906810036,1.336,2.446
20,0.0539148940558488,0.007168458781362007,1.268,2.145
83,0.0543736190745801,0.010752688172043012,1.265,1.968
57,0.0577007720230163,0.014336917562724014,1.239,1.844
87,0.0645103460019283,0.017921146953405017,1.19,1.747
192,0.0713800205754161,0.021505376344086023,1.146,1.667
119,0.0720919922907805,0.025089605734767026,1.142,1.601
17,0.0772646930935844,0.02867383512544803,1.112,1.543
116,0.0775361002529126,0.03225806451612903,1.11,1.491
135,0.090810252258136,0.035842293906810034,1.042,1.446
164,0.0920672793717138,0.03942652329749104,1.036,1.404
150,0.096473121908973,0.043010752688172046,1.016,1.366
15,0.096955809439305,0.04659498207885305,1.013,1.332
236,0.0999863769902856,0.05017921146953405,1.0,1.299
189,0.100434727120183,0.053763440860215055,0.998,1.27
108,0.102601654111887,0.05734767025089606,0.989,1.241
187,0.10402070845711,0.06093189964157706,0.983,1.215
273,0.106226421745241,0.06451612903225806,0.974,1.19
64,0.108762825120034,0.06810035842293907,0.964,1.167
42,0.111321751846508,0.07168458781362007,0.953,1.145
148,0.111432293655529,0.07526881720430108,0.953,1.123
82,0.113381259618676,0.07885304659498207,0.945,1.103
10,0.114821304227423,0.08243727598566308,0.94,1.084
151,0.116329041167347,0.08602150537634409,0.934,1.065
163,0.119429799905504,0.08960573476702509,0.923,1.048
60,0.123095461376825,0.0931899641577061,0.91,1.031
8,0.126165646241786,0.0967741935483871,0.899,1.014
34,0.128337327200902,0.1003584229390681,0.892,0.998
218,0.132567797862491,0.1039426523297491,0.878,0.983
275,0.141377811297007,0.10752688172043011,0.85,0.968
77,0.141742904500519,0.1111111111111111,0.848,0.954
180,0.149289210588082,0.11469534050179211,0.826,0.94
105,0.15045578749813,0.11827956989247312,0.823,0.927
71,0.151191887704511,0.12186379928315412,0.82,0.914
44,0.153561967862139,0.12544802867383512,0.814,0.902
173,0.154411405510707,0.12903225806451613,0.811,0.889
102,0.154962880054697,0.13261648745519714,0.81,0.877
95,0.155118097516953,0.13620071684587814,0.809,0.866
203,0.155629644005321,0.13978494623655913,0.808,0.855
43,0.161081013268289,0.14336917562724014,0.793,0.844
54,0.164527429177193,0.14695340501792115,0.784,0.833
242,0.167503833981407,0.15053763440860216,0.776,0.822
19,0.16864981098481,0.15412186379928317,0.773,0.812
134,0.169451641627293,0.15770609318996415,0.771,0.802
195,0.174469214506187,0.16129032258064516,0.758,0.792
197,0.174727417981281,0.16487455197132617,0.758,0.783
29,0.176632272123638,0.16845878136200718,0.753,0.774
265,0.186273218138357,0.17204301075268819,0.73,0.764
101,0.188391310931119,0.17562724014336917,0.725,0.755
159,0.191679082105059,0.17921146953405018,0.717,0.747
206,0.192470153847321,0.1827956989247312,0.716,0.738
276,0.19369582940396,0.1863799283154122,0.713,0.73
268,0.193949742092884,0.18996415770609318,0.712,0.721
129,0.194631187700493,0.1935483870967742,0.711,0.713
226,0.195903432746229,0.1971326164874552,0.708,0.705
165,0.200156177176811,0.2007168458781362,0.699,0.697
228,0.203465572032039,0.20430107526881722,0.692,0.69
168,0.205495741293047,0.2078853046594982,0.687,0.682
244,0.205570458362314,0.2114695340501792,0.687,0.675
225,0.20713475008345,0.21505376344086022,0.684,0.667
158,0.208733924489059,0.21863799283154123,0.68,0.66
263,0.209504283063857,0.2222222222222222,0.679,0.653
84,0.211008617567223,0.22580645161290322,0.676,0.646
184,0.215180874998843,0.22939068100358423,0.667,0.639
50,0.218649185051559,0.23297491039426524,0.66,0.633
254,0.226098216746497,0.23655913978494625,0.646,0.626
74,0.226982130831145,0.24014336917562723,0.644,0.62
109,0.23089540964967,0.24372759856630824,0.637,0.613
117,0.23140977318906,0.24731182795698925,0.636,0.607
53,0.232211925576947,0.25089605734767023,0.634,0.601
104,0.236459180317813,0.25448028673835127,0.626,0.594
5,0.236775613007459,0.25806451612903225,0.626,0.588
178,0.240825791897325,0.2616487455197133,0.618,0.582
214,0.244480088962575,0.26523297491039427,0.612,0.576
76,0.245645812507687,0.26881720430107525,0.61,0.571
166,0.251550214004486,0.2724014336917563,0.599,0.565
209,0.253904422251062,0.27598566308243727,0.595,0.559
185,0.256357730889351,0.27956989247311825,0.591,0.554
156,0.256421400927687,0.2831541218637993,0.591,0.548
175,0.256955994670414,0.2867383512544803,0.59,0.543
207,0.258714488205746,0.2903225806451613,0.587,0.537
177,0.259273770160753,0.2939068100358423,0.586,0.532
11,0.261150746164855,0.2974910394265233,0.583,0.527
153,0.267029406473676,0.3010752688172043,0.573,0.521
238,0.268209279210347,0.3046594982078853,0.572,0.516
130,0.26970930820983,0.30824372759856633,0.569,0.511
267,0.271402062369588,0.3118279569892473,0.566,0.506
274,0.272852492741159,0.3154121863799283,0.564,0.501
78,0.284443797614018,0.31899641577060933,0.546,0.496
12,0.292037582041983,0.3225806451612903,0.535,0.491
16,0.296978886778674,0.32616487455197135,0.527,0.487
98,0.297461220077124,0.32974910394265233,0.527,0.482
38,0.299092703262306,0.3333333333333333,0.524,0.477
65,0.299940282293526,0.33691756272401435,0.523,0.472
111,0.305384241576671,0.34050179211469533,0.515,0.468
270,0.30646967939193,0.34408602150537637,0.514,0.463
14,0.309145629699591,0.34767025089605735,0.51,0.459
252,0.313262149579001,0.35125448028673834,0.504,0.454
93,0.315234241979063,0.3548387096774194,0.501,0.45
133,0.31740914243188,0.35842293906810035,0.498,0.446
251,0.320689500894098,0.36200716845878134,0.494,0.441
51,0.321230512626495,0.3655913978494624,0.493,0.437
61,0.321314392232432,0.36917562724014336,0.493,0.433
73,0.322152179047331,0.3727598566308244,0.492,0.429
149,0.3292525,0.3763440860215054,0.482,0.424
146,0.329850918841698,0.37992831541218636,0.482,0.42
141,0.338034904446532,0.3835125448028674,0.471,0.416
0,0.341371438587157,0.3870967741935484,0.467,0.412
