,P,Exp P,Log P,Log Exp P
151,1.1006520068038e-05,0.004048582995951417,4.958,2.393
122,0.0004381229906322,0.008097165991902834,3.358,2.092
92,0.0010051217835804,0.012145748987854251,2.998,1.916
21,0.0013441989995782,0.016194331983805668,2.872,1.791
85,0.0056562767144885,0.020242914979757085,2.247,1.694
177,0.0073967504486636,0.024291497975708502,2.131,1.615
61,0.0109014626239815,0.02834008097165992,1.963,1.548
240,0.0109425152407463,0.032388663967611336,1.961,1.49
62,0.0118778285531158,0.03643724696356275,1.925,1.438
25,0.013108224663711,0.04048582995951417,1.882,1.393
15,0.0148833018500879,0.044534412955465584,1.827,1.351
241,0.0173370809126953,0.048582995951417005,1.761,1.314
196,0.0242172857490089,0.05263157894736842,1.616,1.279
44,0.0297825405798605,0.05668016194331984,1.526,1.247
197,0.0313277393708946,0.06072874493927125,1.504,1.217
143,0.0317222180564002,0.06477732793522267,1.499,1.189
47,0.0416144435345028,0.06882591093117409,1.381,1.162
190,0.0447843417355175,0.0728744939271255,1.349,1.137
70,0.0452929852059655,0.07692307692307693,1.344,1.114
189,0.0464312084045688,0.08097165991902834,1.333,1.092
206,0.0494007226781097,0.08502024291497975,1.306,1.07
81,0.0508118411107369,0.08906882591093117,1.294,1.05
52,0.0533324376525451,0.0931174089068826,1.273,1.031
212,0.0660349021229631,0.09716599190283401,1.18,1.012
87,0.0717569936954999,0.10121457489878542,1.144,0.995
234,0.0771407040426782,0.10526315789473684,1.113,0.978
152,0.0782442744656391,0.10931174089068826,1.107,0.961
27,0.0813887152800664,0.11336032388663968,1.089,0.946
239,0.0820886933910058,0.11740890688259109,1.086,0.93
4,0.0853433542822878,0.1214574898785425,1.069,0.916
161,0.0905914149809847,0.12550607287449392,1.043,0.901
13,0.0995044716315084,0.12955465587044535,1.002,0.888
1,0.105465325007871,0.13360323886639677,0.977,0.874
64,0.116304119712796,0.13765182186234817,0.934,0.861
68,0.116346430531986,0.1417004048582996,0.934,0.849
238,0.118614951585823,0.145748987854251,0.926,0.836
76,0.128635327590848,0.14979757085020243,0.891,0.824
98,0.129554062376894,0.15384615384615385,0.888,0.813
220,0.134894239750818,0.15789473684210525,0.87,0.802
79,0.137608779157052,0.16194331983805668,0.861,0.791
56,0.147002202735185,0.1659919028340081,0.833,0.78
120,0.147734986578418,0.1700404858299595,0.831,0.769
205,0.149366234193924,0.17408906882591094,0.826,0.759
231,0.149738199570652,0.17813765182186234,0.825,0.749
93,0.154121312080679,0.18218623481781376,0.812,0.739
129,0.156875316855726,0.1862348178137652,0.804,0.73
106,0.159345755965337,0.1902834008097166,0.798,0.721
77,0.169008793465411,0.19433198380566802,0.772,0.711
219,0.170181484586843,0.19838056680161945,0.769,0.703
228,0.172945041581585,0.20242914979757085,0.762,0.694
170,0.177503551313198,0.20647773279352227,0.751,0.685
3,0.180410717274557,0.21052631578947367,0.744,0.677
12,0.181340253534013,0.2145748987854251,0.742,0.668
10,0.182096439828661,0.21862348178137653,0.74,0.66
29,0.188330885840703,0.22267206477732793,0.725,0.652
31,0.19593297746389,0.22672064777327935,0.708,0.645
225,0.206455105726311,0.23076923076923078,0.685,0.637
37,0.206637464725908,0.23481781376518218,0.685,0.629
158,0.20742721123083,0.2388663967611336,0.683,0.622
102,0.207765593518685,0.242914979757085,0.682,0.615
203,0.208693442739639,0.24696356275303644,0.68,0.607
95,0.21230327223303,0.25101214574898784,0.673,0.6
74,0.215892095572567,0.2550607287449393,0.666,0.593
148,0.222119678087739,0.2591093117408907,0.653,0.587
75,0.225594168780624,0.2631578947368421,0.647,0.58
171,0.232365644991841,0.26720647773279355,0.634,0.573
237,0.235737871509453,0.27125506072874495,0.628,0.567
224,0.242983677480903,0.27530364372469635,0.614,0.56
199,0.24594506651774,0.2793522267206478,0.609,0.554
101,0.25003066955569,0.2834008097165992,0.602,0.548
107,0.252203307145696,0.2874493927125506,0.598,0.541
202,0.260174322680265,0.291497975708502,0.585,0.535
147,0.262670262168788,0.29554655870445345,0.581,0.529
208,0.265844574411582,0.29959514170040485,0.575,0.523
57,0.270610483319088,0.30364372469635625,0.568,0.518
125,0.275680763678952,0.3076923076923077,0.56,0.512
193,0.277933545432651,0.3117408906882591,0.556,0.506
215,0.284963694171024,0.3157894736842105,0.545,0.501
119,0.290438840175161,0.31983805668016196,0.537,0.495
67,0.291496571102207,0.32388663967611336,0.535,0.49
217,0.303179388311169,0.32793522267206476,0.518,0.484
245,0.306004035752258,0.3319838056680162,0.514,0.479
105,0.30758994529529,0.3360323886639676,0.512,0.474
49,0.3111672875459,0.340080971659919,0.507,0.468
163,0.325562337574386,0.3441295546558704,0.487,0.463
173,0.33090687092209,0.3481781376518219,0.48,0.458
142,0.331173830835917,0.3522267206477733,0.48,0.453
216,0.334344686717925,0.3562753036437247,0.476,0.448
188,0.342147752709106,0.3603238866396761,0.466,0.443
183,0.342958965704247,0.3643724696356275,0.465,0.438
244,0.345493938466197,0.3684210526315789,0.462,0.434
124,0.345631967352267,0.3724696356275304,0.461,0.429
35,0.354539013846449,0.3765182186234818,0.45,0.424
128,0.357208456379409,0.3805668016194332,0.447,0.42
135,0.363177714396767,0.38461538461538464,0.44,0.415
60,0.366980876885219,0.38866396761133604,0.435,0.41
121,0.377338104479783,0.39271255060728744,0.423,0.406
178,0.382692090016016,0.3967611336032389,0.417,0.401
186,0.383584513396646,0.4008097165991903,0.416,0.397
116,0.393084568239047,0.4048582995951417,0.406,0.393
5,0.416701150865485,0.4089068825910931,0.38,0.388
78,0.417333477976565,0.41295546558704455,0.38,0.384
176,0.417465763202254,0.41700404858299595,0.379,0.38
108,0.423126003814564,0.42105263157894735,0.374,0.376
226,0.433009360105517,0.4251012145748988,0.364,0.372
162,0.433148399233545,0.4291497975708502,0.363,0.367
113,0.435478589943361,0.4331983805668016,0.361,0.363
195,0.43759038535675,0.43724696356275305,0.359,0.359
38,0.442040162786233,0.44129554655870445,0.355,0.355
112,0.443986919166385,0.44534412955465585,0.353,0.351
136,0.444006003491636,0.4493927125506073,0.353,0.347
134,0.452587677460093,0.4534412955465587,0.344,0.343
198,0.453787234731099,0.4574898785425101,0.343,0.34
7,0.456714354407213,0.46153846153846156,0.34,0.336
187,0.457250124110176,0.46558704453441296,0.34,0.332
99,0.45748525141179,0.46963562753036436,0.34,0.328
146,0.462333092151537,0.47368421052631576,0.335,0.325
153,0.464569873291034,0.4777327935222672,0.333,0.321
227,0.467174622051112,0.4817813765182186,0.331,0.317
233,0.467202334109162,0.48582995951417,0.33,0.314
55,0.467451255866812,0.4898785425101215,0.33,0.31
165,0.47719125418615,0.4939271255060729,0.321,0.306
168,0.483438441821212,0.4979757085020243,0.316,0.303
59,0.484574076920473,0.5020242914979757,0.315,0.299
0,0.492357587179926,0.5060728744939271,0.308,0.296
210,0.495571413253525,0.5101214574898786,0.305,0.292
180,0.499927111398292,0.5141700404858299,0.301,0.289
103,0.502050860206285,0.5182186234817814,0.299,0.285
41,0.504065053552807,0.5222672064777328,0.298,0.282
6,0.509572990771471,0.5263157894736842,0.293,0.279
167,0.515103733752596,0.5303643724696356,0.288,0.275
145,0.515277878774412,0.5344129554655871,0.288,0.272
139,0.521998309426019,0.5384615384615384,0.282,0.269
42,0.523814575132832,0.5425101214574899,0.281,0.266
218,0.526028662044812,0.5465587044534413,0.279,0.262
50,0.526996197707626,0.5506072874493927,0.278,0.259
32,0.528099409165058,0.5546558704453441,0.277,0.256
185,0.533709858258677,0.5587044534412956,0.273,0.253
200,0.536796471273941,0.562753036437247,0.27,0.25
111,0.548821322930563,0.5668016194331984,0.261,0.247
