,P,Exp P,Log P,Log Exp P
91,1.96392111462104e-06,0.004347826086956522,5.707,2.362
178,0.008601364036679,0.008695652173913044,2.065,2.061
143,0.0099291257499833,0.013043478260869565,2.003,1.885
147,0.011050536358798,0.017391304347826087,1.957,1.76
19,0.0111449997388396,0.021739130434782608,1.953,1.663
45,0.0150926184836167,0.02608695652173913,1.821,1.584
23,0.01641304960645,0.030434782608695653,1.785,1.517
136,0.0249418095226053,0.034782608695652174,1.603,1.459
9,0.0268818538095294,0.0391304347826087,1.571,1.407
98,0.0336947673054368,0.043478260869565216,1.472,1.362
64,0.0434151988338508,0.04782608695652174,1.362,1.32
152,0.0483698305368942,0.05217391304347826,1.315,1.283
85,0.0812021981370983,0.05652173913043478,1.09,1.248
215,0.0831818279821575,0.06086956521739131,1.08,1.216
100,0.0916005022453457,0.06521739130434782,1.038,1.186
0,0.0918861398226582,0.06956521739130435,1.037,1.158
53,0.0925559494802133,0.07391304347826087,1.034,1.131
163,0.116805491061953,0.0782608695652174,0.933,1.106
167,0.118163120990313,0.08260869565217391,0.928,1.083
10,0.121598690980195,0.08695652173913043,0.915,1.061
184,0.128033130191531,0.09130434782608696,0.893,1.04
227,0.128218903262783,0.09565217391304348,0.892,1.019
29,0.131344270626532,0.1,0.882,1.0
77,0.132745232566228,0.10434782608695652,0.877,0.982
205,0.13369622406664,0.10869565217391304,0.874,0.964
181,0.135863009349568,0.11304347826086956,0.867,0.947
95,0.151936508579025,0.11739130434782609,0.818,0.93
2,0.152332801876721,0.12173913043478261,0.817,0.915
65,0.153149130190259,0.12608695652173912,0.815,0.899
109,0.160928560058556,0.13043478260869565,0.793,0.885
203,0.162085840004769,0.13478260869565217,0.79,0.87
107,0.166531135488019,0.1391304347826087,0.779,0.857
21,0.166592195096819,0.14347826086956522,0.778,0.843
157,0.166961128556783,0.14782608695652175,0.777,0.83
160,0.167922769645368,0.15217391304347827,0.775,0.818
94,0.173193771138229,0.1565217391304348,0.761,0.805
142,0.175246448204851,0.1608695652173913,0.756,0.794
197,0.179020064848379,0.16521739130434782,0.747,0.782
59,0.192115024698589,0.16956521739130434,0.716,0.771
118,0.196375100511281,0.17391304347826086,0.707,0.76
6,0.197232891036062,0.1782608695652174,0.705,0.749
138,0.206744364547324,0.1826086956521739,0.685,0.738
46,0.208278990080463,0.18695652173913044,0.681,0.728
4,0.209754940498708,0.19130434782608696,0.678,0.718
153,0.21236392385013,0.1956521739130435,0.673,0.709
32,0.218084193214531,0.2,0.661,0.699
176,0.224021890117037,0.20434782608695654,0.65,0.69
209,0.226933351851388,0.20869565217391303,0.644,0.68
154,0.227496385593146,0.21304347826086956,0.643,0.672
30,0.229968490078366,0.21739130434782608,0.638,0.663
194,0.242363030005402,0.2217391304347826,0.616,0.654
110,0.249528813202458,0.22608695652173913,0.603,0.646
113,0.249528813202458,0.23043478260869565,0.603,0.637
212,0.257307786715517,0.23478260869565218,0.59,0.629
55,0.265706788663555,0.2391304347826087,0.576,0.621
180,0.27007061976593,0.24347826086956523,0.569,0.614
5,0.27087310142116,0.24782608695652175,0.567,0.606
228,0.278180816882665,0.25217391304347825,0.556,0.598
126,0.278385817089545,0.2565217391304348,0.555,0.591
58,0.281374944258698,0.2608695652173913,0.551,0.584
149,0.283264603495383,0.26521739130434785,0.548,0.576
115,0.286679224518939,0.26956521739130435,0.543,0.569
127,0.287219361602134,0.27391304347826084,0.542,0.562
223,0.292399944799357,0.2782608695652174,0.534,0.556
54,0.306982072369151,0.2826086956521739,0.513,0.549
123,0.307025583805666,0.28695652173913044,0.513,0.542
202,0.312469258700888,0.29130434782608694,0.505,0.536
