,P,Exp P,Log P,Log Exp P
46,0.0215201499999999,0.004032258064516129,1.667,2.394
40,0.0270444450857939,0.008064516129032258,1.568,2.093
71,0.0289934700000001,0.012096774193548387,1.538,1.917
170,0.0412028,0.016129032258064516,1.385,1.792
183,0.0534674804433938,0.020161290322580645,1.272,1.695
150,0.0535654142032564,0.024193548387096774,1.271,1.616
193,0.0565939206324693,0.028225806451612902,1.247,1.549
225,0.0568411624389556,0.03225806451612903,1.245,1.491
124,0.0604889596909367,0.036290322580645164,1.218,1.44
209,0.0613784380466791,0.04032258064516129,1.212,1.394
235,0.064148306006074,0.04435483870967742,1.193,1.353
120,0.0695066777500298,0.04838709677419355,1.158,1.315
72,0.0741605802299232,0.05241935483870968,1.13,1.281
106,0.0768621801661323,0.056451612903225805,1.114,1.248
146,0.0870409455857422,0.06048387096774194,1.06,1.218
211,0.0891154555165075,0.06451612903225806,1.05,1.19
17,0.0915461065133238,0.06854838709677419,1.038,1.164
79,0.0974061679293279,0.07258064516129033,1.011,1.139
98,0.0978627434693183,0.07661290322580645,1.009,1.116
134,0.0989038066555818,0.08064516129032258,1.005,1.093
93,0.107939992735126,0.0846774193548387,0.967,1.072
77,0.11062509615349,0.08870967741935484,0.956,1.052
41,0.113533749676803,0.09274193548387097,0.945,1.033
50,0.117006205604701,0.0967741935483871,0.932,1.014
145,0.121391124951005,0.10080645161290322,0.916,0.997
238,0.122958063551658,0.10483870967741936,0.91,0.979
55,0.131135384070404,0.10887096774193548,0.882,0.963
105,0.132157247023977,0.11290322580645161,0.879,0.947
198,0.135673528381382,0.11693548387096774,0.868,0.932
51,0.142374165679145,0.12096774193548387,0.847,0.917
104,0.144374461957052,0.125,0.841,0.903
2,0.146960561603574,0.12903225806451613,0.833,0.889
147,0.148205256838192,0.13306451612903225,0.829,0.876
136,0.152991431873448,0.13709677419354838,0.815,0.863
81,0.162203391920852,0.14112903225806453,0.79,0.85
78,0.162450088022119,0.14516129032258066,0.789,0.838
212,0.163568746718671,0.14919354838709678,0.786,0.826
95,0.166163300677655,0.1532258064516129,0.779,0.815
163,0.168149814469853,0.15725806451612903,0.774,0.803
162,0.170984898921441,0.16129032258064516,0.767,0.792
176,0.176651455304785,0.16532258064516128,0.753,0.782
