,P,Exp P,Log P,Log Exp P
84,0.0185106299999999,0.004901960784313725,1.733,2.31
68,0.027117,0.00980392156862745,1.567,2.009
2,0.0331024700000001,0.014705882352941176,1.48,1.833
7,0.0335525799999999,0.0196078431372549,1.474,1.708
184,0.0355405800000001,0.024509803921568627,1.449,1.611
122,0.04404029,0.029411764705882353,1.356,1.531
52,0.0478604299999998,0.03431372549019608,1.32,1.465
115,0.0519237300000001,0.0392156862745098,1.285,1.407
111,0.0566219999999997,0.04411764705882353,1.247,1.355
26,0.05763012,0.049019607843137254,1.239,1.31
120,0.0775581000000001,0.05392156862745098,1.11,1.268
169,0.086874101185045,0.058823529411764705,1.061,1.23
125,0.0933262300000005,0.06372549019607843,1.03,1.196
89,0.117846021800696,0.06862745098039216,0.929,1.164
188,0.13433646075042,0.07352941176470588,0.872,1.134
201,0.13550001627946,0.0784313725490196,0.868,1.106
34,0.140051579568268,0.08333333333333333,0.854,1.079
158,0.151627180747563,0.08823529411764706,0.819,1.054
25,0.1618967,0.09313725490196079,0.791,1.031
167,0.214954,0.09803921568627451,0.668,1.009
170,0.224836216624268,0.10294117647058823,0.648,0.987
3,0.225289732902054,0.10784313725490197,0.647,0.967
6,0.238787934589075,0.11274509803921569,0.622,0.948
58,0.255031,0.11764705882352941,0.593,0.929
109,0.293224033797641,0.12254901960784313,0.533,0.912
145,0.299044115741329,0.12745098039215685,0.524,0.895
147,0.312730144978387,0.1323529411764706,0.505,0.878
114,0.3455127,0.13725490196078433,0.462,0.862
27,0.396942401172978,0.14215686274509803,0.401,0.847
10,0.4133491,0.14705882352941177,0.384,0.833
18,0.417333740275296,0.15196078431372548,0.38,0.818
123,0.427578737358557,0.1568627450980392,0.369,0.804
193,0.436853119299844,0.16176470588235295,0.36,0.791
135,0.4579995,0.16666666666666666,0.339,0.778
119,0.4592851,0.1715686274509804,0.338,0.766
162,0.4765548,0.17647058823529413,0.322,0.753
165,0.4772667,0.18137254901960784,0.321,0.741
159,0.4807736,0.18627450980392157,0.318,0.73
16,0.4808593,0.19117647058823528,0.318,0.719
156,0.4833078,0.19607843137254902,0.316,0.708
67,0.5025363,0.20098039215686275,0.299,0.697
197,0.5069236,0.20588235294117646,0.295,0.686
43,0.5116541,0.2107843137254902,0.291,0.676
50,0.5274473,0.21568627450980393,0.278,0.666
