,P,Exp P,Log P,Log Exp P
161,0.0001002561130876,0.004464285714285714,3.999,2.35
111,0.0015364906823881,0.008928571428571428,2.813,2.049
44,0.0063389456099043,0.013392857142857142,2.198,1.873
27,0.006887965292484,0.017857142857142856,2.162,1.748
146,0.0145845985720229,0.022321428571428572,1.836,1.651
212,0.0169264921508774,0.026785714285714284,1.771,1.572
186,0.0266211411588483,0.03125,1.575,1.505
201,0.0505293483284747,0.03571428571428571,1.296,1.447
191,0.0554335708735932,0.04017857142857143,1.256,1.396
142,0.0594211266408693,0.044642857142857144,1.226,1.35
182,0.0657853634080974,0.049107142857142856,1.182,1.309
135,0.0825002120586117,0.05357142857142857,1.084,1.271
63,0.0927798674567778,0.05803571428571429,1.033,1.236
197,0.0992560257422826,0.0625,1.003,1.204
34,0.101196888665843,0.06696428571428571,0.995,1.174
7,0.116283866549601,0.07142857142857142,0.934,1.146
174,0.116657382601216,0.07589285714285714,0.933,1.12
31,0.118210038674169,0.08035714285714286,0.927,1.095
117,0.124910413879447,0.08482142857142858,0.903,1.071
162,0.127963118127906,0.08928571428571429,0.893,1.049
10,0.138728224612795,0.09375,0.858,1.028
16,0.140367978273005,0.09821428571428571,0.853,1.008
70,0.150379360118722,0.10267857142857142,0.823,0.989
143,0.151222552111197,0.10714285714285714,0.82,0.97
171,0.157569923041724,0.11160714285714286,0.803,0.952
147,0.164114034197855,0.11607142857142858,0.785,0.935
170,0.170287635178385,0.12053571428571429,0.769,0.919
128,0.171988397529097,0.125,0.765,0.903
141,0.172315303899249,0.12946428571428573,0.764,0.888
65,0.173361523656129,0.13392857142857142,0.761,0.873
18,0.17361559741271,0.13839285714285715,0.76,0.859
78,0.17483138376768,0.14285714285714285,0.757,0.845
59,0.180598934705812,0.14732142857142858,0.743,0.832
108,0.183343485282437,0.15178571428571427,0.737,0.819
71,0.18768650513721,0.15625,0.727,0.806
134,0.190838335531373,0.16071428571428573,0.719,0.794
138,0.193738783751471,0.16517857142857142,0.713,0.782
218,0.213249093964884,0.16964285714285715,0.671,0.77
36,0.217141729338388,0.17410714285714285,0.663,0.759
22,0.222652316931395,0.17857142857142858,0.652,0.748
110,0.226592201497184,0.18303571428571427,0.645,0.737
3,0.230823837546304,0.1875,0.637,0.727
84,0.245404399938028,0.19196428571428573,0.61,0.717
48,0.257060522602054,0.19642857142857142,0.59,0.707
102,0.259063456549395,0.20089285714285715,0.587,0.697
45,0.268356955755791,0.20535714285714285,0.571,0.687
167,0.270502427436495,0.20982142857142858,0.568,0.678
210,0.279777124656074,0.21428571428571427,0.553,0.669
24,0.282942820293703,0.21875,0.548,0.66
195,0.292937317000061,0.22321428571428573,0.533,0.651
19,0.311529862964858,0.22767857142857142,0.507,0.643
124,0.313552271788852,0.23214285714285715,0.504,0.634
75,0.318928467756749,0.23660714285714285,0.496,0.626
56,0.320936520954801,0.24107142857142858,0.494,0.618
130,0.321521478241115,0.24553571428571427,0.493,0.61
168,0.321965974377275,0.25,0.492,0.602
107,0.333357695418541,0.2544642857142857,0.477,0.594
51,0.333580387191693,0.25892857142857145,0.477,0.587
29,0.334033939490303,0.26339285714285715,0.476,0.579
101,0.341379513075322,0.26785714285714285,0.467,0.572
155,0.34374582464031,0.27232142857142855,0.464,0.565
156,0.35852335387508,0.2767857142857143,0.445,0.558
6,0.379356402913054,0.28125,0.421,0.551
32,0.391584589974793,0.2857142857142857,0.407,0.544
137,0.398904932550878,0.29017857142857145,0.399,0.537
198,0.400581322477667,0.29464285714285715,0.397,0.531
129,0.413573713542918,0.29910714285714285,0.383,0.524
87,0.417906467902862,0.30357142857142855,0.379,0.518
133,0.420078064939623,0.3080357142857143,0.377,0.511
148,0.432262803506809,0.3125,0.364,0.505
196,0.439401604404195,0.3169642857142857,0.357,0.499
