,P,Exp P,Log P,Log Exp P
90,0.0140382630989209,0.004878048780487805,1.853,2.312
138,0.0209843238046837,0.00975609756097561,1.678,2.011
24,0.0264862126370101,0.014634146341463415,1.577,1.835
97,0.0302432865560194,0.01951219512195122,1.519,1.71
168,0.0423079701326306,0.024390243902439025,1.374,1.613
107,0.0468092733882412,0.02926829268292683,1.33,1.534
155,0.0649034633971238,0.03414634146341464,1.188,1.467
27,0.0737093038083072,0.03902439024390244,1.132,1.409
114,0.079281144342985,0.04390243902439024,1.101,1.358
99,0.0797718643259764,0.04878048780487805,1.098,1.312
47,0.0939619063936958,0.05365853658536585,1.027,1.27
147,0.095249944800886,0.05853658536585366,1.021,1.233
193,0.0957519219236198,0.06341463414634146,1.019,1.198
182,0.100844522184422,0.06829268292682927,0.996,1.166
162,0.112511240786106,0.07317073170731707,0.949,1.136
104,0.11731159405606,0.07804878048780488,0.931,1.108
43,0.123234586957235,0.08292682926829269,0.909,1.081
132,0.123234586957235,0.08780487804878048,0.909,1.056
134,0.130161019732017,0.09268292682926829,0.886,1.033
127,0.133770448957872,0.0975609756097561,0.874,1.011
167,0.167273277540895,0.1024390243902439,0.777,0.99
38,0.17538477684342,0.1073170731707317,0.756,0.969
122,0.175943444738534,0.11219512195121951,0.755,0.95
149,0.182084572873642,0.11707317073170732,0.74,0.932
58,0.19516479026802,0.12195121951219512,0.71,0.914
6,0.196696435607831,0.12682926829268293,0.706,0.897
171,0.202814917063969,0.13170731707317074,0.693,0.88
123,0.209385212521786,0.13658536585365855,0.679,0.865
130,0.225041127694211,0.14146341463414633,0.648,0.849
159,0.233981313533354,0.14634146341463414,0.631,0.835
111,0.237120226734125,0.15121951219512195,0.625,0.82
31,0.23853010002352,0.15609756097560976,0.622,0.807
64,0.240577107613891,0.16097560975609757,0.619,0.793
170,0.243187549412113,0.16585365853658537,0.614,0.78
201,0.246491701670231,0.17073170731707318,0.608,0.768
153,0.253352258737274,0.17560975609756097,0.596,0.755
33,0.257148224643863,0.18048780487804877,0.59,0.744
102,0.259130107130817,0.18536585365853658,0.586,0.732
66,0.273676867986598,0.1902439024390244,0.563,0.721
10,0.280423425732769,0.1951219512195122,0.552,0.71
110,0.309008666569115,0.2,0.51,0.699
70,0.313245679066263,0.2048780487804878,0.504,0.689
190,0.317620058274612,0.2097560975609756,0.498,0.678
166,0.317703837626536,0.2146341463414634,0.498,0.668
192,0.326289480333931,0.21951219512195122,0.486,0.659
125,0.327486597610389,0.22439024390243903,0.485,0.649
50,0.333000820649759,0.22926829268292684,0.478,0.64
146,0.338641653986733,0.23414634146341465,0.47,0.631
177,0.349121911474479,0.23902439024390243,0.457,0.622
1,0.35370565940528,0.24390243902439024,0.451,0.613
39,0.355425003946406,0.24878048780487805,0.449,0.604
103,0.356140433149216,0.25365853658536586,0.448,0.596
143,0.357980675751737,0.25853658536585367,0.446,0.587
139,0.361352242877767,0.2634146341463415,0.442,0.579
9,0.362639480694909,0.2682926829268293,0.441,0.571
140,0.36484871513978,0.2731707317073171,0.438,0.564
95,0.371228603157622,0.2780487804878049,0.43,0.556
54,0.371745411851139,0.28292682926829266,0.43,0.548
28,0.373534422180795,0.28780487804878047,0.428,0.541
83,0.378405835756971,0.2926829268292683,0.422,0.534
148,0.378629664778065,0.2975609756097561,0.422,0.526
41,0.378639192502306,0.3024390243902439,0.422,0.519
203,0.379163371117311,0.3073170731707317,0.421,0.512
198,0.381878443032951,0.3121951219512195,0.418,0.506
129,0.384732315204073,0.3170731707317073,0.415,0.499
174,0.389605266106339,0.32195121951219513,0.409,0.492
106,0.39039865257115,0.32682926829268294,0.408,0.486
179,0.391950046171657,0.33170731707317075,0.407,0.479
150,0.398292747812046,0.33658536585365856,0.4,0.473
100,0.399820071485662,0.34146341463414637,0.398,0.467
135,0.404025896489204,0.3463414634146341,0.394,0.46
108,0.408857958589317,0.35121951219512193,0.388,0.454
71,0.409795712921603,0.35609756097560974,0.387,0.448
42,0.410037589105307,0.36097560975609755,0.387,0.443
164,0.410706113938846,0.36585365853658536,0.386,0.437
113,0.414040470672995,0.37073170731707317,0.383,0.431
199,0.416036096190846,0.375609756097561,0.381,0.425
131,0.416403394724754,0.3804878048780488,0.38,0.42
36,0.418605408136574,0.3853658536585366,0.378,0.414
186,0.419211987464052,0.3902439024390244,0.378,0.409
191,0.423683832689138,0.3951219512195122,0.373,0.403
161,0.427721216087926,0.4,0.369,0.398
196,0.43417188611953,0.40487804878048783,0.362,0.393
116,0.436562216178845,0.4097560975609756,0.36,0.387
59,0.442209213781061,0.4146341463414634,0.354,0.382
156,0.446005391883243,0.4195121951219512,0.351,0.377
118,0.45086640976362,0.424390243902439,0.346,0.372
34,0.457291360821917,0.4292682926829268,0.34,0.367
67,0.457412144121333,0.43414634146341463,0.34,0.362
180,0.458002467886194,0.43902439024390244,0.339,0.358
0,0.458432699415543,0.44390243902439025,0.339,0.353
175,0.463952920243942,0.44878048780487806,0.334,0.348
2,0.465755281847381,0.45365853658536587,0.332,0.343
30,0.484854105255349,0.4585365853658537,0.314,0.339
79,0.488654419963314,0.4634146341463415,0.311,0.334
169,0.491563573319257,0.4682926829268293,0.308,0.329
68,0.504154858953031,0.47317073170731705,0.297,0.325
25,0.505719381728096,0.47804878048780486,0.296,0.321
94,0.509047694849556,0.48292682926829267,0.293,0.316
84,0.517247260091129,0.4878048780487805,0.286,0.312
98,0.52118769976296,0.4926829268292683,0.283,0.307
151,0.521331887332869,0.4975609756097561,0.283,0.303
121,0.525157271818498,0.5024390243902439,0.28,0.299
120,0.530969457250429,0.5073170731707317,0.275,0.295
45,0.533442155336842,0.5121951219512195,0.273,0.291
142,0.538842949508979,0.5170731707317073,0.269,0.286
133,0.543717592021247,0.5219512195121951,0.265,0.282
40,0.548951907296197,0.526829268292683,0.26,0.278
165,0.552677841707793,0.5317073170731708,0.258,0.274
53,0.560782429741059,0.5365853658536586,0.251,0.27
96,0.561936696530644,0.5414634146341464,0.25,0.266
105,0.562800578903344,0.5463414634146342,0.25,0.263
189,0.563656322869718,0.551219512195122,0.249,0.259
61,0.57010280246593,0.5560975609756098,0.244,0.255
57,0.590466200607229,0.5609756097560976,0.229,0.251
51,0.599309415992917,0.5658536585365853,0.222,0.247
80,0.60874541404325,0.5707317073170731,0.216,0.244
124,0.617170038800303,0.5756097560975609,0.21,0.24
154,0.638518567582734,0.5804878048780487,0.195,0.236
85,0.642719818310226,0.5853658536585366,0.192,0.233
200,0.644685348500812,0.5902439024390244,0.191,0.229
14,0.669909605493429,0.5951219512195122,0.174,0.225
5,0.670085499667514,0.6,0.174,0.222
4,0.672687559052375,0.6048780487804878,0.172,0.218
145,0.675890367484445,0.6097560975609756,0.17,0.215
178,0.680390129434513,0.6146341463414634,0.167,0.211
187,0.683635560742972,0.6195121951219512,0.165,0.208
101,0.684695374271088,0.624390243902439,0.165,0.205
55,0.689675700420746,0.6292682926829268,0.161,0.201
152,0.691871146347021,0.6341463414634146,0.16,0.198
181,0.692836037954413,0.6390243902439025,0.159,0.194
87,0.699579908164246,0.6439024390243903,0.155,0.191
202,0.704743036858528,0.6487804878048781,0.152,0.188
16,0.724083310798954,0.6536585365853659,0.14,0.185
52,0.724130935262946,0.6585365853658537,0.14,0.181
119,0.729984818826316,0.6634146341463415,0.137,0.178
22,0.730555238400475,0.6682926829268293,0.136,0.175
158,0.732280997320027,0.6731707317073171,0.135,0.172
15,0.733045114217044,0.6780487804878049,0.135,0.169
89,0.733658317254122,0.6829268292682927,0.135,0.166
184,0.736617338192748,0.6878048780487804,0.133,0.163
183,0.739061260837945,0.6926829268292682,0.131,0.159
92,0.740944848817765,0.697560975609756,0.13,0.156
204,0.747988730708145,0.7024390243902439,0.126,0.153
46,0.74887717720618,0.7073170731707317,0.126,0.15
65,0.749508287151565,0.7121951219512195,0.125,0.147
144,0.75909678497335,0.7170731707317073,0.12,0.144
19,0.759130670424885,0.7219512195121951,0.12,0.141
56,0.764147372174915,0.7268292682926829,0.117,0.139
172,0.770901816020732,0.7317073170731707,0.113,0.136
8,0.772177142983446,0.7365853658536585,0.112,0.133
32,0.772779018776749,0.7414634146341463,0.112,0.13
115,0.774718098694556,0.7463414634146341,0.111,0.127
69,0.776668316624226,0.751219512195122,0.11,0.124
72,0.777749374602152,0.7560975609756098,0.109,0.121
23,0.781731934960643,0.7609756097560976,0.107,0.119
117,0.783384450731064,0.7658536585365854,0.106,0.116
37,0.789789665815665,0.7707317073170732,0.102,0.113
60,0.790186484202252,0.775609756097561,0.102,0.11
12,0.798114071648492,0.7804878048780488,0.098,0.108
188,0.808579506200554,0.7853658536585366,0.092,0.105
20,0.810524411714022,0.7902439024390244,0.091,0.102
195,0.811620174601444,0.7951219512195122,0.091,0.1
74,0.81342939476136,0.8,0.09,0.097
73,0.815184719387604,0.8048780487804879,0.089,0.094
157,0.830091746963107,0.8097560975609757,0.081,0.092
185,0.839718053097606,0.8146341463414634,0.076,0.089
3,0.842936955219319,0.8195121951219512,0.074,0.086
75,0.843628560602981,0.824390243902439,0.074,0.084
128,0.844497815096019,0.8292682926829268,0.073,0.081
26,0.861618436290842,0.8341463414634146,0.065,0.079
112,0.862148828719549,0.8390243902439024,0.064,0.076
194,0.864610415576187,0.8439024390243902,0.063,0.074
173,0.866655232813872,0.848780487804878,0.062,0.071
160,0.870161271834868,0.8536585365853658,0.06,0.069
77,0.871117613961951,0.8585365853658536,0.06,0.066
163,0.87305455553769,0.8634146341463415,0.059,0.064
17,0.873364300663481,0.8682926829268293,0.059,0.061
11,0.876409054738105,0.8731707317073171,0.057,0.059
91,0.876779568923958,0.8780487804878049,0.057,0.056
88,0.882000835028737,0.8829268292682927,0.055,0.054
93,0.894289010279827,0.8878048780487805,0.049,0.052
13,0.895614447871401,0.8926829268292683,0.048,0.049
126,0.898032916005402,0.8975609756097561,0.047,0.047
136,0.904447900339937,0.9024390243902439,0.044,0.045
109,0.907768262866173,0.9073170731707317,0.042,0.042
81,0.919530793198335,0.9121951219512195,0.036,0.04
197,0.9197671140488,0.9170731707317074,0.036,0.038
49,0.920207676572053,0.9219512195121952,0.036,0.035
63,0.924592021814188,0.926829268292683,0.034,0.033
141,0.925174318847977,0.9317073170731708,0.034,0.031
44,0.941024331474883,0.9365853658536586,0.026,0.028
137,0.941721550240943,0.9414634146341463,0.026,0.026
7,0.949952866337917,0.9463414634146341,0.022,0.024
176,0.950021479288074,0.9512195121951219,0.022,0.022
82,0.954797664266746,0.9560975609756097,0.02,0.019
21,0.957544168050521,0.9609756097560975,0.019,0.017
35,0.958913433973338,0.9658536585365853,0.018,0.015
