,P,Exp P,Log P,Log Exp P
172,0.0090832112643104,0.004484304932735426,2.042,2.348
61,0.0211011556228348,0.008968609865470852,1.676,2.047
124,0.0338559831167216,0.013452914798206279,1.47,1.871
115,0.0340714799999999,0.017937219730941704,1.468,1.746
215,0.0514484757911394,0.02242152466367713,1.289,1.649
25,0.0514767956795482,0.026905829596412557,1.288,1.57
199,0.0539597763838431,0.03139013452914798,1.268,1.503
138,0.0592252427716255,0.03587443946188341,1.227,1.445
27,0.0711802097899138,0.04035874439461883,1.148,1.394
11,0.0809606897999214,0.04484304932735426,1.092,1.348
63,0.0829324427566229,0.04932735426008968,1.081,1.307
218,0.0841550065863594,0.053811659192825115,1.075,1.269
49,0.0869574512804378,0.05829596412556054,1.061,1.234
118,0.0877660169186053,0.06278026905829596,1.057,1.202
97,0.0947844468257436,0.06726457399103139,1.023,1.172
123,0.0971573669799993,0.07174887892376682,1.013,1.144
153,0.098977573772531,0.07623318385650224,1.004,1.118
168,0.0998136593612064,0.08071748878923767,1.001,1.093
201,0.104869166959332,0.08520179372197309,0.979,1.07
92,0.116974047483508,0.08968609865470852,0.932,1.047
197,0.137651874333768,0.09417040358744394,0.861,1.026
66,0.145130802025835,0.09865470852017937,0.838,1.006
54,0.147715659255482,0.1031390134529148,0.831,0.987
70,0.149128240765412,0.10762331838565023,0.826,0.968
16,0.15023431152388,0.11210762331838565,0.823,0.95
14,0.15562704174966,0.11659192825112108,0.808,0.933
76,0.160271369939206,0.1210762331838565,0.795,0.917
98,0.16112046826978,0.12556053811659193,0.793,0.901
220,0.161369901696834,0.13004484304932734,0.792,0.886
161,0.16708905128619,0.13452914798206278,0.777,0.871
204,0.169136040559724,0.13901345291479822,0.772,0.857
106,0.17243847189966,0.14349775784753363,0.763,0.843
31,0.172553071664049,0.14798206278026907,0.763,0.83
96,0.178176189660409,0.15246636771300448,0.749,0.817
125,0.178768490821384,0.15695067264573992,0.748,0.804
102,0.184504428433475,0.16143497757847533,0.734,0.792
152,0.187363828062547,0.16591928251121077,0.727,0.78
80,0.192912880975762,0.17040358744394618,0.715,0.769
212,0.195273399926315,0.17488789237668162,0.709,0.757
180,0.198834793998373,0.17937219730941703,0.702,0.746
173,0.199256304200499,0.18385650224215247,0.701,0.736
93,0.204034490647321,0.18834080717488788,0.69,0.725
146,0.205283334465242,0.19282511210762332,0.688,0.715
12,0.207875475066792,0.19730941704035873,0.682,0.705
208,0.21270554614268,0.20179372197309417,0.672,0.695
3,0.214399686521661,0.2062780269058296,0.669,0.686
57,0.216468489730895,0.21076233183856502,0.665,0.676
64,0.219498358912866,0.21524663677130046,0.659,0.667
112,0.223479517120519,0.21973094170403587,0.651,0.658
143,0.22450616468513,0.2242152466367713,0.649,0.649
170,0.231491997880164,0.22869955156950672,0.635,0.641
19,0.232066941722981,0.23318385650224216,0.634,0.632
88,0.237184771470077,0.23766816143497757,0.625,0.624
37,0.241313804619198,0.242152466367713,0.617,0.616
149,0.246570188736926,0.24663677130044842,0.608,0.608
17,0.249447881875567,0.25112107623318386,0.603,0.6
