,P,Exp P,Log P,Log Exp P
141,0.0073532487750922,0.0029940119760479044,2.134,2.524
27,0.0114142300000001,0.005988023952095809,1.943,2.223
105,0.0168471367538461,0.008982035928143712,1.773,2.047
107,0.0173187702268835,0.011976047904191617,1.761,1.922
297,0.0174823059041821,0.014970059880239521,1.757,1.825
236,0.01950658,0.017964071856287425,1.71,1.746
16,0.0209576099999999,0.020958083832335328,1.679,1.679
316,0.0253569039666119,0.023952095808383235,1.596,1.621
264,0.0273316057066032,0.02694610778443114,1.563,1.57
37,0.0343434949868585,0.029940119760479042,1.464,1.524
161,0.0387960234517421,0.03293413173652695,1.411,1.482
244,0.0437850935001087,0.03592814371257485,1.359,1.445
251,0.0519118847059077,0.038922155688622756,1.285,1.41
28,0.0524215188794242,0.041916167664670656,1.28,1.378
296,0.0525510714602093,0.04491017964071856,1.279,1.348
144,0.0525944089630598,0.04790419161676647,1.279,1.32
14,0.0572342843997483,0.05089820359281437,1.242,1.293
270,0.057491549797097,0.05389221556886228,1.24,1.268
237,0.0630434808447698,0.05688622754491018,1.2,1.245
272,0.0655953500000001,0.059880239520958084,1.183,1.223
225,0.0724519011437763,0.06287425149700598,1.14,1.202
138,0.0800774978406098,0.0658682634730539,1.096,1.181
73,0.0878579223192021,0.0688622754491018,1.056,1.162
202,0.0957826521078584,0.0718562874251497,1.019,1.144
97,0.0983704234814696,0.0748502994011976,1.007,1.126
193,0.122626038830876,0.07784431137724551,0.911,1.109
1,0.12596748881795,0.08083832335329341,0.9,1.092
262,0.126450171660713,0.08383233532934131,0.898,1.077
34,0.127974337936839,0.08682634730538923,0.893,1.061
308,0.136545196715651,0.08982035928143713,0.865,1.047
253,0.144054704782495,0.09281437125748503,0.841,1.032
238,0.144521944852029,0.09580838323353294,0.84,1.019
140,0.15071950583482,0.09880239520958084,0.822,1.005
320,0.152999329112253,0.10179640718562874,0.815,0.992
115,0.159747629384197,0.10479041916167664,0.797,0.98
152,0.168147597104082,0.10778443113772455,0.774,0.967
300,0.175479844340339,0.11077844311377245,0.756,0.956
286,0.177974846178703,0.11377245508982035,0.75,0.944
247,0.178163456769307,0.11676646706586827,0.749,0.933
90,0.183017090577764,0.11976047904191617,0.738,0.922
60,0.19320787394161,0.12275449101796407,0.714,0.911
240,0.196995298747103,0.12574850299401197,0.706,0.9
56,0.20394836410815,0.12874251497005987,0.69,0.89
113,0.206892537134485,0.1317365269461078,0.684,0.88
241,0.208351862048742,0.1347305389221557,0.681,0.871
48,0.210597286252196,0.1377245508982036,0.677,0.861
129,0.210748565096607,0.1407185628742515,0.676,0.852
95,0.21198889467229,0.1437125748502994,0.674,0.843
197,0.220335189974356,0.1467065868263473,0.657,0.834
134,0.221165072305577,0.1497005988023952,0.655,0.825
133,0.235078847600277,0.15269461077844312,0.629,0.816
206,0.241084298857704,0.15568862275449102,0.618,0.808
7,0.24505614348793,0.15868263473053892,0.611,0.799
213,0.248635133623363,0.16167664670658682,0.604,0.791
186,0.251120476990514,0.16467065868263472,0.6,0.783
256,0.255652182742137,0.16766467065868262,0.592,0.776
265,0.260688372468472,0.17065868263473055,0.584,0.768
322,0.265017736883433,0.17365269461077845,0.577,0.76
18,0.27039705387867,0.17664670658682635,0.568,0.753
23,0.270837986603199,0.17964071856287425,0.567,0.746
307,0.274984248494673,0.18263473053892215,0.561,0.738
114,0.279661923939046,0.18562874251497005,0.553,0.731
167,0.281184874464139,0.18862275449101795,0.551,0.724
150,0.282134513455191,0.19161676646706588,0.55,0.718
314,0.296241909752613,0.19461077844311378,0.528,0.711
35,0.296455464564046,0.19760479041916168,0.528,0.704
46,0.303801171563315,0.20059880239520958,0.517,0.698
112,0.304364751904811,0.20359281437125748,0.517,0.691
3,0.306640247531762,0.20658682634730538,0.513,0.685
267,0.312972071239501,0.20958083832335328,0.504,0.679
324,0.313083508945137,0.2125748502994012,0.504,0.672
122,0.317098325516379,0.2155688622754491,0.499,0.666
124,0.317936542974635,0.218562874251497,0.498,0.66
243,0.33137615318046,0.2215568862275449,0.48,0.655
135,0.331648300439011,0.2245508982035928,0.479,0.649
315,0.334666564020397,0.2275449101796407,0.475,0.643
149,0.340248216794828,0.23053892215568864,0.468,0.637
227,0.348219267290087,0.23353293413173654,0.458,0.632
311,0.351008880804491,0.23652694610778444,0.455,0.626
165,0.359249325382484,0.23952095808383234,0.445,0.621
6,0.364499643526353,0.24251497005988024,0.438,0.615
299,0.369273416413657,0.24550898203592814,0.433,0.61
85,0.373130984611001,0.24850299401197604,0.428,0.605
162,0.385925197259226,0.25149700598802394,0.413,0.599
44,0.387810965016298,0.25449101796407186,0.411,0.594
280,0.389411878895021,0.25748502994011974,0.41,0.589
271,0.405451001665685,0.26047904191616766,0.392,0.584
166,0.407263937830191,0.2634730538922156,0.39,0.579
263,0.410754226647224,0.26646706586826346,0.386,0.574
198,0.416777300240558,0.2694610778443114,0.38,0.57
62,0.417990020967161,0.27245508982035926,0.379,0.565
289,0.419119755485545,0.2754491017964072,0.378,0.56
131,0.423099105197973,0.27844311377245506,0.374,0.555
216,0.424821325637347,0.281437125748503,0.372,0.551
39,0.426158034606133,0.2844311377245509,0.37,0.546
20,0.429362914059132,0.2874251497005988,0.367,0.541
171,0.431284834708895,0.2904191616766467,0.365,0.537
69,0.432462229057941,0.2934131736526946,0.364,0.533
25,0.435238812959265,0.2964071856287425,0.361,0.528
245,0.439708549486901,0.2994011976047904,0.357,0.524
325,0.445305955331636,0.3023952095808383,0.351,0.519
101,0.450597750350902,0.30538922155688625,0.346,0.515
266,0.454810535963354,0.3083832335329341,0.342,0.511
10,0.454910205176643,0.31137724550898205,0.342,0.507
125,0.455952510542346,0.3143712574850299,0.341,0.503
92,0.457178459444253,0.31736526946107785,0.34,0.498
53,0.457484681632235,0.3203592814371258,0.34,0.494
22,0.45774248206266,0.32335329341317365,0.339,0.49
192,0.458032029633012,0.3263473053892216,0.339,0.486
127,0.459836668316687,0.32934131736526945,0.337,0.482
248,0.461873232270537,0.3323353293413174,0.335,0.478
282,0.462115462480218,0.33532934131736525,0.335,0.475
207,0.463738927815395,0.3383233532934132,0.334,0.471
231,0.465536205986887,0.3413173652694611,0.332,0.467
38,0.465660157858529,0.344311377245509,0.332,0.463
156,0.47329584917276,0.3473053892215569,0.325,0.459
108,0.475662672084249,0.3502994011976048,0.323,0.456
195,0.479289369950456,0.3532934131736527,0.319,0.452
24,0.482671282623149,0.3562874251497006,0.316,0.448
249,0.483043039445747,0.3592814371257485,0.316,0.445
252,0.485247302263913,0.36227544910179643,0.314,0.441
287,0.485769558158698,0.3652694610778443,0.314,0.437
281,0.491911005532786,0.36826347305389223,0.308,0.434
180,0.493616821253509,0.3712574850299401,0.307,0.43
283,0.49394418123319,0.37425149700598803,0.306,0.427
81,0.496358595062286,0.3772455089820359,0.304,0.423
58,0.508405101561568,0.38023952095808383,0.294,0.42
109,0.511483461477626,0.38323353293413176,0.291,0.417
196,0.517998756672054,0.38622754491017963,0.286,0.413
119,0.522973121132783,0.38922155688622756,0.282,0.41
0,0.524827399318278,0.39221556886227543,0.28,0.406
178,0.524837090572193,0.39520958083832336,0.28,0.403
173,0.527434898636684,0.39820359281437123,0.278,0.4
5,0.528714788494317,0.40119760479041916,0.277,0.397
