,P,Exp P,Log P,Log Exp P
19,0.004474843,0.019230769230769232,2.349,1.716
32,0.00956141,0.038461538461538464,2.019,1.415
44,0.07511505,0.057692307692307696,1.124,1.239
28,0.09683791,0.07692307692307693,1.014,1.114
2,0.1536459,0.09615384615384616,0.813,1.017
39,0.1625666,0.11538461538461539,0.789,0.938
38,0.182413,0.1346153846153846,0.739,0.871
26,0.2112041,0.15384615384615385,0.675,0.813
3,0.2394926,0.17307692307692307,0.621,0.762
16,0.2744371,0.19230769230769232,0.562,0.716
18,0.2990551,0.21153846153846154,0.524,0.675
33,0.3058257,0.23076923076923078,0.515,0.637
17,0.3253735,0.25,0.488,0.602
27,0.3435085,0.2692307692307692,0.464,0.57
20,0.3442392,0.28846153846153844,0.463,0.54
15,0.3479393,0.3076923076923077,0.458,0.512
5,0.3523034,0.3269230769230769,0.453,0.486
35,0.3592073,0.34615384615384615,0.445,0.461
42,0.3621937,0.36538461538461536,0.441,0.437
12,0.3734232,0.38461538461538464,0.428,0.415
13,0.3918457,0.40384615384615385,0.407,0.394
41,0.4140691,0.4230769230769231,0.383,0.374
4,0.4275597,0.4423076923076923,0.369,0.354
29,0.4277127,0.46153846153846156,0.369,0.336
40,0.4383127,0.4807692307692308,0.358,0.318
24,0.4522506,0.5,0.345,0.301
36,0.4808888,0.5192307692307693,0.318,0.285
21,0.5127114,0.5384615384615384,0.29,0.269
25,0.5230685,0.5576923076923077,0.281,0.254
22,0.5381536,0.5769230769230769,0.269,0.239
31,0.5484015,0.5961538461538461,0.261,0.225
10,0.5706794,0.6153846153846154,0.244,0.211
9,0.5956873,0.6346153846153846,0.225,0.197
34,0.595748,0.6538461538461539,0.225,0.185
30,0.5971566,0.6730769230769231,0.224,0.172
37,0.6227074,0.6923076923076923,0.206,0.16
0,0.6239536,0.7115384615384616,0.205,0.148
11,0.6335331,0.7307692307692307,0.198,0.136
7,0.6898703,0.75,0.161,0.125
48,0.7115174,0.7692307692307693,0.148,0.114
1,0.7135368,0.7884615384615384,0.147,0.103
50,0.7360699,0.8076923076923077,0.133,0.093
14,0.7377936,0.8269230769230769,0.132,0.083
51,0.7419404,0.8461538461538461,0.13,0.073
46,0.7419404,0.8653846153846154,0.13,0.063
43,0.7740951,0.8846153846153846,0.111,0.053
6,0.7752451,0.9038461538461539,0.111,0.044
49,0.852532,0.9230769230769231,0.069,0.035
8,0.8981328,0.9423076923076923,0.047,0.026
23,0.9451825,0.9615384615384616,0.024,0.017
47,0.9756366,0.9807692307692307,0.011,0.008
45,0.9980031,1.0,0.001,-0.0
