,P,Exp P,Log P,Log Exp P
33,0.0027443942346017,0.0029498525073746312,2.562,2.53
114,0.0048214910170566,0.0058997050147492625,2.317,2.229
176,0.0073833948498685,0.008849557522123894,2.132,2.053
223,0.0089836068160142,0.011799410029498525,2.047,1.928
291,0.0120471778740872,0.014749262536873156,1.919,1.831
251,0.0122781045297999,0.017699115044247787,1.911,1.752
64,0.012901579752602,0.02064896755162242,1.889,1.685
28,0.0165140672237517,0.02359882005899705,1.782,1.627
240,0.0174504165155868,0.02654867256637168,1.758,1.576
171,0.0188879518411036,0.029498525073746312,1.724,1.53
292,0.0247796273049835,0.032448377581120944,1.606,1.489
97,0.0299718369937447,0.035398230088495575,1.523,1.451
112,0.030655246004176,0.038348082595870206,1.513,1.416
85,0.034149860152608,0.04129793510324484,1.467,1.384
27,0.0356857433802324,0.04424778761061947,1.448,1.354
135,0.0357064417704304,0.0471976401179941,1.447,1.326
323,0.0359729929824317,0.05014749262536873,1.444,1.3
199,0.0376096112975026,0.05309734513274336,1.425,1.275
77,0.0423490678050775,0.05604719764011799,1.373,1.251
22,0.0432024420102269,0.058997050147492625,1.364,1.229
189,0.0483919955701156,0.061946902654867256,1.315,1.208
304,0.0535470421235631,0.06489675516224189,1.271,1.188
320,0.0545737457365351,0.06784660766961652,1.263,1.168
208,0.0554114276461487,0.07079646017699115,1.256,1.15
93,0.0612214825225497,0.07374631268436578,1.213,1.132
83,0.0623869790917932,0.07669616519174041,1.205,1.115
305,0.0641683257657854,0.07964601769911504,1.193,1.099
174,0.0648150189293278,0.08259587020648967,1.188,1.083
121,0.0661212417205418,0.0855457227138643,1.18,1.068
48,0.0665736422251506,0.08849557522123894,1.177,1.053
248,0.0690546250691374,0.09144542772861357,1.161,1.039
67,0.0709521827056306,0.0943952802359882,1.149,1.025
186,0.0720761083867822,0.09734513274336283,1.142,1.012
21,0.0776696320362459,0.10029498525073746,1.11,0.999
149,0.0802962290305506,0.10324483775811209,1.095,0.986
14,0.080984508208955,0.10619469026548672,1.092,0.974
281,0.0875938014200328,0.10914454277286136,1.058,0.962
76,0.0905438940431331,0.11209439528023599,1.043,0.95
5,0.0986308618934761,0.11504424778761062,1.006,0.939
256,0.104538494610314,0.11799410029498525,0.981,0.928
110,0.106405561861624,0.12094395280235988,0.973,0.917
319,0.111544805252996,0.12389380530973451,0.953,0.907
233,0.114497890233159,0.12684365781710916,0.941,0.897
74,0.114644817852212,0.12979351032448377,0.941,0.887
329,0.121735388540908,0.13274336283185842,0.915,0.877
26,0.125026802838286,0.13569321533923304,0.903,0.867
111,0.125580355205765,0.13864306784660768,0.901,0.858
299,0.126126181158091,0.1415929203539823,0.899,0.849
103,0.126762823579553,0.14454277286135694,0.897,0.84
307,0.130043860978921,0.14749262536873156,0.886,0.831
224,0.135921329921692,0.1504424778761062,0.867,0.823
325,0.138195835424987,0.15339233038348082,0.86,0.814
20,0.14287175656431,0.15634218289085547,0.845,0.806
120,0.145992546827741,0.1592920353982301,0.836,0.798
264,0.147077607595468,0.16224188790560473,0.832,0.79
261,0.155910470329146,0.16519174041297935,0.807,0.782
86,0.156621524916851,0.168141592920354,0.805,0.774
185,0.157379462787667,0.1710914454277286,0.803,0.767
265,0.172284192402575,0.17404129793510326,0.764,0.759
204,0.180080266802959,0.17699115044247787,0.745,0.752
140,0.180691052738037,0.17994100294985252,0.743,0.745
246,0.181693135800619,0.18289085545722714,0.741,0.738
168,0.182260705921022,0.18584070796460178,0.739,0.731
278,0.187258929781325,0.1887905604719764,0.728,0.724
165,0.187743457699355,0.19174041297935104,0.726,0.717
6,0.193241285444584,0.19469026548672566,0.714,0.711
193,0.195163351951828,0.1976401179941003,0.71,0.704
275,0.197578141588195,0.20058997050147492,0.704,0.698
68,0.201197327017645,0.20353982300884957,0.696,0.691
60,0.208775115816776,0.20648967551622419,0.68,0.685
163,0.209922242910666,0.20943952802359883,0.678,0.679
148,0.212076482605226,0.21238938053097345,0.674,0.673
35,0.214762004117991,0.2153392330383481,0.668,0.667
182,0.216847538063202,0.2182890855457227,0.664,0.661
236,0.217348640057291,0.22123893805309736,0.663,0.655
252,0.21963421435649,0.22418879056047197,0.658,0.649
90,0.221501116661083,0.22713864306784662,0.655,0.644
