,P,Exp P,Log P,Log Exp P
61,0.01402899,0.014285714285714285,1.853,1.845
40,0.03321701,0.02857142857142857,1.479,1.544
52,0.04594856,0.04285714285714286,1.338,1.368
58,0.07883986,0.05714285714285714,1.103,1.243
36,0.08054717,0.07142857142857142,1.094,1.146
50,0.1223618,0.08571428571428572,0.912,1.067
60,0.1238341,0.1,0.907,1.0
20,0.1248684,0.11428571428571428,0.904,0.942
14,0.1290557,0.12857142857142856,0.889,0.891
55,0.1436658,0.14285714285714285,0.843,0.845
11,0.1522713,0.15714285714285714,0.817,0.804
16,0.1661601,0.17142857142857143,0.779,0.766
46,0.198728,0.18571428571428572,0.702,0.731
69,0.279603,0.2,0.553,0.699
62,0.279603,0.21428571428571427,0.553,0.669
25,0.2831537,0.22857142857142856,0.548,0.641
17,0.3106191,0.24285714285714285,0.508,0.615
48,0.3154057,0.2571428571428571,0.501,0.59
54,0.3998415,0.2714285714285714,0.398,0.566
44,0.4066437,0.2857142857142857,0.391,0.544
24,0.4120496,0.3,0.385,0.523
1,0.4249033,0.3142857142857143,0.372,0.503
15,0.4261015,0.32857142857142857,0.37,0.483
34,0.4366517,0.34285714285714286,0.36,0.465
53,0.4465958,0.35714285714285715,0.35,0.447
9,0.4580143,0.37142857142857144,0.339,0.43
66,0.4631242,0.38571428571428573,0.334,0.414
0,0.4815434,0.4,0.317,0.398
63,0.4830424,0.4142857142857143,0.316,0.383
22,0.4928952,0.42857142857142855,0.307,0.368
39,0.5003088,0.44285714285714284,0.301,0.354
64,0.5008072,0.45714285714285713,0.3,0.34
29,0.5032922,0.4714285714285714,0.298,0.327
27,0.5432554,0.4857142857142857,0.265,0.314
21,0.545344,0.5,0.263,0.301
59,0.5486835,0.5142857142857142,0.261,0.289
37,0.5524642,0.5285714285714286,0.258,0.277
57,0.559599,0.5428571428571428,0.252,0.265
42,0.5661304,0.5571428571428572,0.247,0.254
38,0.597872,0.5714285714285714,0.223,0.243
51,0.6045823,0.5857142857142857,0.219,0.232
49,0.6051696,0.6,0.218,0.222
23,0.6139678,0.6142857142857143,0.212,0.212
26,0.6184741,0.6285714285714286,0.209,0.202
28,0.632387,0.6428571428571429,0.199,0.192
12,0.648797,0.6571428571428571,0.188,0.182
5,0.6493224,0.6714285714285714,0.188,0.173
68,0.6508976,0.6857142857142857,0.186,0.164
3,0.6516936,0.7,0.186,0.155
56,0.6659159,0.7142857142857143,0.177,0.146
7,0.6927714,0.7285714285714285,0.159,0.138
31,0.6984459,0.7428571428571429,0.156,0.129
41,0.7253276,0.7571428571428571,0.139,0.121
10,0.771766,0.7714285714285715,0.113,0.113
43,0.7907208,0.7857142857142857,0.102,0.105
13,0.8122983,0.8,0.09,0.097
4,0.8138664,0.8142857142857143,0.089,0.089
35,0.8290136,0.8285714285714286,0.081,0.082
8,0.8424522,0.8428571428571429,0.074,0.074
45,0.8830037,0.8571428571428571,0.054,0.067
19,0.883232,0.8714285714285714,0.054,0.06
32,0.8839689,0.8857142857142857,0.054,0.053
47,0.8985501,0.9,0.046,0.046
6,0.8991947,0.9142857142857143,0.046,0.039
18,0.9066959,0.9285714285714286,0.043,0.032
67,0.910136,0.9428571428571428,0.041,0.026
65,0.915821,0.9571428571428572,0.038,0.019
33,0.919651,0.9714285714285714,0.036,0.013
30,0.933038,0.9857142857142858,0.03,0.006
2,0.9968902,1.0,0.001,-0.0
