,P,Exp P,Log P,Log Exp P
214,0.0006671195145691,0.003134796238244514,3.176,2.504
2,0.0080773336249597,0.006269592476489028,2.093,2.203
42,0.0100037261200039,0.009404388714733543,2.0,2.027
272,0.0111498380805861,0.012539184952978056,1.953,1.902
100,0.0118922175869493,0.01567398119122257,1.925,1.805
163,0.0164292234594414,0.018808777429467086,1.784,1.726
179,0.0183740934141977,0.0219435736677116,1.736,1.659
229,0.0185943751426688,0.025078369905956112,1.731,1.601
182,0.0192926313754418,0.02821316614420063,1.715,1.55
247,0.0199400003072771,0.03134796238244514,1.7,1.504
192,0.0323958543885664,0.034482758620689655,1.49,1.462
265,0.0353414434711617,0.03761755485893417,1.452,1.425
221,0.0363289632542036,0.04075235109717868,1.44,1.39
292,0.0379712619293507,0.0438871473354232,1.421,1.358
234,0.0385190203543486,0.047021943573667714,1.414,1.328
73,0.0428704593690255,0.050156739811912224,1.368,1.3
97,0.0446962174520884,0.05329153605015674,1.35,1.273
117,0.0458379954965831,0.05642633228840126,1.339,1.249
63,0.0513524533978032,0.05956112852664577,1.289,1.225
106,0.0537731008019535,0.06269592476489028,1.269,1.203
306,0.0546884019470069,0.06583072100313479,1.262,1.182
213,0.05940150287959,0.06896551724137931,1.226,1.161
103,0.0604474867655229,0.07210031347962383,1.219,1.142
250,0.0835232429771324,0.07523510971786834,1.078,1.124
211,0.0865759998364681,0.07836990595611286,1.063,1.106
166,0.0923098862919917,0.08150470219435736,1.035,1.089
191,0.10047893779939,0.08463949843260188,0.998,1.072
305,0.101008491604103,0.0877742946708464,0.996,1.057
255,0.108182939356614,0.09090909090909091,0.966,1.041
209,0.109303804882613,0.09404388714733543,0.961,1.027
217,0.110123399960529,0.09717868338557993,0.958,1.012
252,0.111658247294296,0.10031347962382445,0.952,0.999
81,0.116381573511392,0.10344827586206896,0.934,0.985
29,0.121598587984308,0.10658307210031348,0.915,0.972
201,0.121752451523711,0.109717868338558,0.915,0.96
40,0.13136382608796,0.11285266457680251,0.882,0.947
119,0.137515269218466,0.11598746081504702,0.862,0.936
28,0.13907607147499,0.11912225705329153,0.857,0.924
185,0.143461002759564,0.12225705329153605,0.843,0.913
135,0.143624797444366,0.12539184952978055,0.843,0.902
285,0.144748212434333,0.12852664576802508,0.839,0.891
275,0.146468696999243,0.13166144200626959,0.834,0.881
291,0.152256917105626,0.13479623824451412,0.817,0.87
88,0.161134936052432,0.13793103448275862,0.793,0.86
34,0.16132397311207,0.14106583072100312,0.792,0.851
216,0.161670945770709,0.14420062695924765,0.791,0.841
71,0.168524260061357,0.14733542319749215,0.773,0.832
17,0.169915700850454,0.15047021943573669,0.77,0.823
111,0.172158064621648,0.1536050156739812,0.764,0.814
153,0.175261226004699,0.15673981191222572,0.756,0.805
215,0.178332295180475,0.15987460815047022,0.749,0.796
5,0.179447380853846,0.16300940438871472,0.746,0.788
75,0.187002688538098,0.16614420062695925,0.728,0.78
232,0.187383822936242,0.16927899686520376,0.727,0.771
223,0.187573012053152,0.1724137931034483,0.727,0.763
25,0.191501801260826,0.1755485893416928,0.718,0.756
218,0.201446188481792,0.1786833855799373,0.696,0.748
160,0.203479780454283,0.18181818181818182,0.691,0.74
152,0.210873013685942,0.18495297805642633,0.676,0.733
219,0.213290705747623,0.18808777429467086,0.671,0.726
105,0.217629914223216,0.19122257053291536,0.662,0.718
207,0.221668105714839,0.19435736677115986,0.654,0.711
283,0.22230035329449,0.1974921630094044,0.653,0.704
20,0.227951090349496,0.2006269592476489,0.642,0.698
116,0.237135979813414,0.20376175548589343,0.625,0.691
240,0.238668502977488,0.20689655172413793,0.622,0.684
92,0.23955568981404,0.21003134796238246,0.621,0.678
85,0.243519660009317,0.21316614420062696,0.613,0.671
313,0.249509669435414,0.21630094043887146,0.603,0.665
195,0.249801667774261,0.219435736677116,0.602,0.659
148,0.263336959612343,0.2225705329153605,0.579,0.653
164,0.26397481843624,0.22570532915360503,0.578,0.646
158,0.265495671638091,0.22884012539184953,0.576,0.64
35,0.269654561665541,0.23197492163009403,0.569,0.635
241,0.280577351565158,0.23510971786833856,0.552,0.629
15,0.281484447293412,0.23824451410658307,0.551,0.623
30,0.286535396369237,0.2413793103448276,0.543,0.617
227,0.290374429789384,0.2445141065830721,0.537,0.612
43,0.298279955212774,0.2476489028213166,0.525,0.606
115,0.300014418816307,0.2507836990595611,0.523,0.601
154,0.302197392447299,0.25391849529780564,0.52,0.595
162,0.304613052839471,0.25705329153605017,0.516,0.59
269,0.3068815546107,0.2601880877742947,0.513,0.585
293,0.311415752256183,0.26332288401253917,0.507,0.58
61,0.313440405043554,0.2664576802507837,0.504,0.574
267,0.313871977836532,0.26959247648902823,0.503,0.569
6,0.315105009799659,0.2727272727272727,0.502,0.564
172,0.319588230633303,0.27586206896551724,0.495,0.559
139,0.320600709365031,0.27899686520376177,0.494,0.554
87,0.322769824066635,0.28213166144200624,0.491,0.55
131,0.327289361964436,0.2852664576802508,0.485,0.545
21,0.327703116138665,0.2884012539184953,0.485,0.54
64,0.328047990264182,0.29153605015673983,0.484,0.535
33,0.336621396610124,0.2946708463949843,0.473,0.531
268,0.339412496417469,0.29780564263322884,0.469,0.526
315,0.339643929282083,0.30094043887147337,0.469,0.522
125,0.343127934996369,0.30407523510971785,0.465,0.517
48,0.343563426595223,0.3072100313479624,0.464,0.513
