,P,Exp P,Log P,Log Exp P
11,0.043104,0.027777777777777776,1.365,1.556
24,0.1529065,0.05555555555555555,0.816,1.255
28,0.2392461,0.08333333333333333,0.621,1.079
7,0.3032434,0.1111111111111111,0.518,0.954
32,0.320788,0.1388888888888889,0.494,0.857
31,0.3267432,0.16666666666666666,0.486,0.778
14,0.3276286,0.19444444444444445,0.485,0.711
10,0.3596938,0.2222222222222222,0.444,0.653
16,0.4328847,0.25,0.364,0.602
19,0.4770328,0.2777777777777778,0.321,0.556
23,0.4851424,0.3055555555555556,0.314,0.515
4,0.5555023,0.3333333333333333,0.255,0.477
15,0.5605914,0.3611111111111111,0.251,0.442
21,0.5717769,0.3888888888888889,0.243,0.41
29,0.5790398,0.4166666666666667,0.237,0.38
8,0.6449971,0.4444444444444444,0.19,0.352
17,0.6837791,0.4722222222222222,0.165,0.326
34,0.6985789,0.5,0.156,0.301
5,0.7546329,0.5277777777777778,0.122,0.278
35,0.7614628,0.5555555555555556,0.118,0.255
27,0.7794247,0.5833333333333334,0.108,0.234
12,0.797585,0.6111111111111112,0.098,0.214
1,0.8085394,0.6388888888888888,0.092,0.195
6,0.8291691,0.6666666666666666,0.081,0.176
33,0.8325523,0.6944444444444444,0.08,0.158
30,0.8612064,0.7222222222222222,0.065,0.141
9,0.8638241,0.75,0.064,0.125
3,0.8798701,0.7777777777777778,0.056,0.109
0,0.8838875,0.8055555555555556,0.054,0.094
2,0.9017621,0.8333333333333334,0.045,0.079
22,0.9069058,0.8611111111111112,0.042,0.065
25,0.9103764,0.8888888888888888,0.041,0.051
20,0.9431857,0.9166666666666666,0.025,0.038
26,0.949247,0.9444444444444444,0.023,0.025
13,0.9604851,0.9722222222222222,0.018,0.012
18,0.973144,1.0,0.012,-0.0
