,P,Exp P,Log P,Log Exp P
42,0.0208947500776658,0.0029498525073746312,1.68,2.53
296,0.0221562518873448,0.0058997050147492625,1.655,2.229
149,0.0236244318153006,0.008849557522123894,1.627,2.053
154,0.0241402699999998,0.011799410029498525,1.617,1.928
112,0.0303287244916346,0.014749262536873156,1.518,1.831
194,0.0305683033662508,0.017699115044247787,1.515,1.752
55,0.0360381108997521,0.02064896755162242,1.443,1.685
19,0.0390379919121439,0.02359882005899705,1.409,1.627
92,0.0420755628062258,0.02654867256637168,1.376,1.576
298,0.04351656,0.029498525073746312,1.361,1.53
165,0.0466238997146362,0.032448377581120944,1.331,1.489
285,0.0499116956953624,0.035398230088495575,1.302,1.451
102,0.0509301700000003,0.038348082595870206,1.293,1.416
205,0.0581837400000001,0.04129793510324484,1.235,1.384
269,0.0598334083623771,0.04424778761061947,1.223,1.354
70,0.0609555857502998,0.0471976401179941,1.215,1.326
132,0.0678582944376699,0.05014749262536873,1.168,1.3
301,0.070869699607717,0.05309734513274336,1.15,1.275
286,0.0750246623161199,0.05604719764011799,1.125,1.251
167,0.0768219732531254,0.058997050147492625,1.115,1.229
27,0.0795362532343555,0.061946902654867256,1.099,1.208
93,0.0804808338077417,0.06489675516224189,1.094,1.188
33,0.0813776899656885,0.06784660766961652,1.089,1.168
330,0.085878864787486,0.07079646017699115,1.066,1.15
148,0.0863727837286927,0.07374631268436578,1.064,1.132
184,0.0952962204656285,0.07669616519174041,1.021,1.115
7,0.0992608566383271,0.07964601769911504,1.003,1.099
109,0.0998863951773969,0.08259587020648967,1.0,1.083
115,0.100423391278891,0.0855457227138643,0.998,1.068
233,0.103445325826921,0.08849557522123894,0.985,1.053
67,0.10712314395131,0.09144542772861357,0.97,1.039
261,0.11133445161088,0.0943952802359882,0.953,1.025
242,0.113897864717356,0.09734513274336283,0.943,1.012
228,0.116023975675505,0.10029498525073746,0.935,0.999
239,0.117855435525498,0.10324483775811209,0.929,0.986
152,0.124371782949868,0.10619469026548672,0.905,0.974
183,0.125124442364997,0.10914454277286136,0.903,0.962
214,0.13642537297632,0.11209439528023599,0.865,0.95
34,0.13753651775825,0.11504424778761062,0.862,0.939
210,0.14593888223509,0.11799410029498525,0.836,0.928
251,0.147701546360225,0.12094395280235988,0.831,0.917
244,0.14891330787611,0.12389380530973451,0.827,0.907
136,0.151699303264642,0.12684365781710916,0.819,0.897
101,0.153287796181912,0.12979351032448377,0.814,0.887
94,0.154813677915175,0.13274336283185842,0.81,0.877
130,0.157299191913374,0.13569321533923304,0.803,0.867
144,0.158898297489623,0.13864306784660768,0.799,0.858
18,0.159429057597674,0.1415929203539823,0.797,0.849
76,0.166340459370914,0.14454277286135694,0.779,0.84
310,0.167613386071531,0.14749262536873156,0.776,0.831
125,0.167895318971298,0.1504424778761062,0.775,0.823
284,0.173283561452843,0.15339233038348082,0.761,0.814
21,0.175052863741172,0.15634218289085547,0.757,0.806
1,0.176420207819007,0.1592920353982301,0.753,0.798
124,0.181088834094018,0.16224188790560473,0.742,0.79
240,0.182872295606209,0.16519174041297935,0.738,0.782
10,0.186844814562465,0.168141592920354,0.729,0.774
231,0.187717412787285,0.1710914454277286,0.726,0.767
105,0.189965779445308,0.17404129793510326,0.721,0.759
5,0.194530612479941,0.17699115044247787,0.711,0.752
82,0.195070925421736,0.17994100294985252,0.71,0.745
164,0.195434996231221,0.18289085545722714,0.709,0.738
142,0.207837944424755,0.18584070796460178,0.682,0.731
40,0.208971718699206,0.1887905604719764,0.68,0.724
282,0.212558229464189,0.19174041297935104,0.673,0.717
69,0.216156200573013,0.19469026548672566,0.665,0.711
225,0.220894189831193,0.1976401179941003,0.656,0.704
114,0.223381302420742,0.20058997050147492,0.651,0.698
288,0.225283474517242,0.20353982300884957,0.647,0.691
316,0.227931099050615,0.20648967551622419,0.642,0.685
60,0.232096567808449,0.20943952802359883,0.634,0.679
158,0.233038348916636,0.21238938053097345,0.633,0.673
6,0.239996784038365,0.2153392330383481,0.62,0.667
44,0.243408844512279,0.2182890855457227,0.614,0.661
193,0.244130794596031,0.22123893805309736,0.612,0.655
331,0.246090844324851,0.22418879056047197,0.609,0.649
226,0.247876334255802,0.22713864306784662,0.606,0.644
232,0.252103234137461,0.23008849557522124,0.598,0.638
35,0.25275411452885,0.23303834808259588,0.597,0.633
46,0.254084890558857,0.2359882005899705,0.595,0.627
68,0.254268544503973,0.23893805309734514,0.595,0.622
0,0.257498840467362,0.24188790560471976,0.589,0.616
169,0.261043078818907,0.2448377581120944,0.583,0.611
175,0.261438279814909,0.24778761061946902,0.583,0.606
178,0.262247423966298,0.25073746312684364,0.581,0.601
65,0.2651795231854,0.2536873156342183,0.576,0.596
223,0.265376448645265,0.25663716814159293,0.576,0.591
220,0.269089752160397,0.25958702064896755,0.57,0.586
166,0.277691846358074,0.26253687315634217,0.556,0.581
278,0.280066554448107,0.26548672566371684,0.553,0.576
333,0.281866977231025,0.26843657817109146,0.55,0.571
174,0.283390878138087,0.2713864306784661,0.548,0.566
103,0.288656718592366,0.2743362831858407,0.54,0.562
106,0.294023409080461,0.27728613569321536,0.532,0.557
268,0.295281786251458,0.28023598820059,0.53,0.552
191,0.299338285855089,0.2831858407079646,0.524,0.548
15,0.299375459661675,0.2861356932153392,0.524,0.543
185,0.303615939436559,0.2890855457227139,0.518,0.539
96,0.308729711873159,0.2920353982300885,0.51,0.535
135,0.317242842985106,0.2949852507374631,0.499,0.53
4,0.319484272420039,0.29793510324483774,0.496,0.526
289,0.320244479734205,0.3008849557522124,0.495,0.522
197,0.326525196209072,0.30383480825958703,0.486,0.517
281,0.326890133493628,0.30678466076696165,0.486,0.513
87,0.326926228493728,0.30973451327433627,0.486,0.509
218,0.327619262340057,0.31268436578171094,0.485,0.505
71,0.331921515757331,0.31563421828908556,0.479,0.501
3,0.33387859499408,0.3185840707964602,0.476,0.497
179,0.340777737385914,0.3215339233038348,0.468,0.493
160,0.346291230876141,0.32448377581120946,0.461,0.489
39,0.346347392232344,0.3274336283185841,0.46,0.485
79,0.346418352853487,0.3303834808259587,0.46,0.481
122,0.351258325921012,0.3333333333333333,0.454,0.477
211,0.355044831495803,0.336283185840708,0.45,0.473
267,0.362614496680081,0.3392330383480826,0.441,0.47
131,0.366844535402028,0.3421828908554572,0.436,0.466
12,0.369738577082921,0.34513274336283184,0.432,0.462
277,0.377443032933791,0.3480825958702065,0.423,0.458
47,0.379042262998458,0.35103244837758113,0.421,0.455
171,0.382163373916978,0.35398230088495575,0.418,0.451
129,0.383879933073415,0.35693215339233036,0.416,0.447
16,0.385792489808129,0.35988200589970504,0.414,0.444
332,0.386127354512744,0.36283185840707965,0.413,0.44
2,0.3864452132858,0.36578171091445427,0.413,0.437
20,0.38705901425678,0.3687315634218289,0.412,0.433
199,0.394081418826504,0.37168141592920356,0.404,0.43
217,0.396488022494541,0.3746312684365782,0.402,0.426
133,0.400097127914722,0.3775811209439528,0.398,0.423
227,0.40176574066704,0.3805309734513274,0.396,0.42
279,0.403431212766299,0.3834808259587021,0.394,0.416
334,0.403435978713397,0.3864306784660767,0.394,0.413
98,0.406032849393278,0.3893805309734513,0.391,0.41
182,0.406497416672746,0.39233038348082594,0.391,0.406
108,0.409363003341503,0.3952802359882006,0.388,0.403
153,0.409944997725224,0.39823008849557523,0.387,0.4
128,0.413928205807814,0.40117994100294985,0.383,0.397
324,0.425908480126113,0.40412979351032446,0.371,0.393
81,0.429106335118288,0.40707964601769914,0.367,0.39
155,0.43181216511967,0.41002949852507375,0.365,0.387
145,0.433106117030435,0.41297935103244837,0.363,0.384
139,0.433598400229985,0.415929203539823,0.363,0.381
248,0.434178699981102,0.41887905604719766,0.362,0.378
264,0.434525365720154,0.4218289085545723,0.362,0.375
57,0.434574467412992,0.4247787610619469,0.362,0.372
317,0.435393241377058,0.4277286135693215,0.361,0.369
263,0.437569385465466,0.4306784660766962,0.359,0.366
273,0.441464843529489,0.4336283185840708,0.355,0.363
329,0.442048140223994,0.4365781710914454,0.355,0.36
335,0.442661247019987,0.43952802359882004,0.354,0.357
138,0.443810122300681,0.4424778761061947,0.353,0.354
321,0.44617438406437,0.44542772861356933,0.35,0.351
323,0.449525211054523,0.44837758112094395,0.347,0.348
262,0.454058729020227,0.45132743362831856,0.343,0.346
299,0.458592169426463,0.45427728613569324,0.339,0.343
29,0.459984277286638,0.45722713864306785,0.337,0.34
326,0.463048856392278,0.46017699115044247,0.334,0.337
230,0.470455421087282,0.4631268436578171,0.327,0.334
258,0.473410904550241,0.46607669616519176,0.325,0.332
337,0.473539217395835,0.4690265486725664,0.325,0.329
272,0.473734031466254,0.471976401179941,0.324,0.326
118,0.474989344204202,0.4749262536873156,0.323,0.323
237,0.47710731916402,0.4778761061946903,0.321,0.321
234,0.481721009820846,0.4808259587020649,0.317,0.318
13,0.484776356684991,0.4837758112094395,0.314,0.315
146,0.490880724517467,0.48672566371681414,0.309,0.313
308,0.491511806246777,0.4896755162241888,0.308,0.31
58,0.495634818812736,0.49262536873156343,0.305,0.307
53,0.495902539793768,0.49557522123893805,0.305,0.305
203,0.49631412184275,0.49852507374631266,0.304,0.302
224,0.497676114865839,0.5014749262536873,0.303,0.3
61,0.500034516700599,0.504424778761062,0.301,0.297
187,0.500205069007861,0.5073746312684366,0.301,0.295
116,0.500254579422481,0.5103244837758112,0.301,0.292
297,0.501801090515175,0.5132743362831859,0.299,0.29
213,0.505552771100229,0.5162241887905604,0.296,0.287
72,0.505894962770046,0.5191740412979351,0.296,0.285
91,0.508099971365756,0.5221238938053098,0.294,0.282
254,0.512000118751651,0.5250737463126843,0.291,0.28
304,0.514848615382086,0.528023598820059,0.288,0.277
189,0.516206390837289,0.5309734513274337,0.287,0.275
85,0.518423020807023,0.5339233038348082,0.285,0.273
62,0.52215596508496,0.5368731563421829,0.282,0.27
89,0.522988225403207,0.5398230088495575,0.282,0.268
100,0.523440323432554,0.5427728613569321,0.281,0.265
295,0.524783800166287,0.5457227138643068,0.28,0.263
43,0.525739732764241,0.5486725663716814,0.279,0.261
14,0.525870109535627,0.551622418879056,0.279,0.258
247,0.527222059783118,0.5545722713864307,0.278,0.256
11,0.527965513189806,0.5575221238938053,0.277,0.254
280,0.529119498943386,0.56047197640118,0.276,0.251
120,0.531051165140453,0.5634218289085545,0.275,0.249
56,0.533523619925261,0.5663716814159292,0.273,0.247
336,0.534496779123788,0.5693215339233039,0.272,0.245
207,0.535689814576069,0.5722713864306784,0.271,0.242
37,0.536790514434748,0.5752212389380531,0.27,0.24
181,0.536843983213935,0.5781710914454278,0.27,0.238
204,0.541923549741473,0.5811209439528023,0.266,0.236
322,0.543230280510616,0.584070796460177,0.265,0.234
38,0.546224251403661,0.5870206489675516,0.263,0.231
206,0.550238204957027,0.5899705014749262,0.259,0.229
107,0.551731378373134,0.5929203539823009,0.258,0.227
245,0.558877150717412,0.5958702064896755,0.253,0.225
117,0.558947568193382,0.5988200589970502,0.253,0.223
151,0.560588340810347,0.6017699115044248,0.251,0.221
180,0.564182804981681,0.6047197640117994,0.249,0.218
88,0.565763018784082,0.6076696165191741,0.247,0.216
294,0.576992452926127,0.6106194690265486,0.239,0.214
320,0.579576138909134,0.6135693215339233,0.237,0.212
