,P,Exp P,Log P,Log Exp P
32,0.01833276,0.013888888888888888,1.737,1.857
53,0.01947034,0.027777777777777776,1.711,1.556
9,0.04563944,0.041666666666666664,1.341,1.38
17,0.05619017,0.05555555555555555,1.25,1.255
58,0.06475633,0.06944444444444445,1.189,1.158
19,0.07459009,0.08333333333333333,1.127,1.079
27,0.08592032,0.09722222222222222,1.066,1.012
30,0.09074131,0.1111111111111111,1.042,0.954
39,0.09976186,0.125,1.001,0.903
22,0.1037012,0.1388888888888889,0.984,0.857
59,0.1389623,0.1527777777777778,0.857,0.816
29,0.1407911,0.16666666666666666,0.851,0.778
13,0.1510488,0.18055555555555555,0.821,0.743
33,0.2085433,0.19444444444444445,0.681,0.711
48,0.2599935,0.20833333333333334,0.585,0.681
3,0.261226,0.2222222222222222,0.583,0.653
66,0.2691822,0.2361111111111111,0.57,0.627
24,0.2789408,0.25,0.554,0.602
44,0.2828548,0.2638888888888889,0.548,0.579
55,0.3201726,0.2777777777777778,0.495,0.556
25,0.3255109,0.2916666666666667,0.487,0.535
70,0.3494713,0.3055555555555556,0.457,0.515
11,0.3588995,0.3194444444444444,0.445,0.496
41,0.3664375,0.3333333333333333,0.436,0.477
52,0.3669587,0.3472222222222222,0.435,0.459
6,0.3730824,0.3611111111111111,0.428,0.442
37,0.3763949,0.375,0.424,0.426
35,0.3808587,0.3888888888888889,0.419,0.41
71,0.3875232,0.4027777777777778,0.412,0.395
63,0.3875232,0.4166666666666667,0.412,0.38
51,0.3903778,0.4305555555555556,0.409,0.366
1,0.4022477,0.4444444444444444,0.396,0.352
38,0.4048452,0.4583333333333333,0.393,0.339
23,0.4410535,0.4722222222222222,0.356,0.326
46,0.449357,0.4861111111111111,0.347,0.313
65,0.4515872,0.5,0.345,0.301
61,0.4568144,0.5138888888888888,0.34,0.289
43,0.4817377,0.5277777777777778,0.317,0.278
45,0.4923339,0.5416666666666666,0.308,0.266
7,0.5326878,0.5555555555555556,0.274,0.255
40,0.5364513,0.5694444444444444,0.27,0.245
49,0.5432769,0.5833333333333334,0.265,0.234
10,0.5576902,0.5972222222222222,0.254,0.224
60,0.5626281,0.6111111111111112,0.25,0.214
21,0.5650268,0.625,0.248,0.204
16,0.5806115,0.6388888888888888,0.236,0.195
50,0.6038809,0.6527777777777778,0.219,0.185
64,0.607467,0.6666666666666666,0.216,0.176
56,0.6134984,0.6805555555555556,0.212,0.167
14,0.6208947,0.6944444444444444,0.207,0.158
57,0.6361256,0.7083333333333334,0.196,0.15
0,0.6631448,0.7222222222222222,0.178,0.141
26,0.6660016,0.7361111111111112,0.177,0.133
36,0.6947356,0.75,0.158,0.125
54,0.7005145,0.7638888888888888,0.155,0.117
20,0.7029791,0.7777777777777778,0.153,0.109
31,0.7179909,0.7916666666666666,0.144,0.101
15,0.7444447,0.8055555555555556,0.128,0.094
2,0.7453139,0.8194444444444444,0.128,0.086
67,0.7457221,0.8333333333333334,0.127,0.079
34,0.7458306,0.8472222222222222,0.127,0.072
62,0.7762002,0.8611111111111112,0.11,0.065
42,0.79056,0.875,0.102,0.058
28,0.7990311,0.8888888888888888,0.097,0.051
5,0.8406828,0.9027777777777778,0.075,0.044
69,0.8471617,0.9166666666666666,0.072,0.038
68,0.8651607,0.9305555555555556,0.063,0.031
47,0.8879661,0.9444444444444444,0.052,0.025
12,0.9230846,0.9583333333333334,0.035,0.018
18,0.9549523,0.9722222222222222,0.02,0.012
4,0.9709038,0.9861111111111112,0.013,0.006
8,0.9786549,1.0,0.009,-0.0
