,P,Exp P,Log P,Log Exp P
11,0.0182600262122562,0.0033783783783783786,1.738,2.471
145,0.0199310429175299,0.006756756756756757,1.7,2.17
271,0.0229548640419889,0.010135135135135136,1.639,1.994
46,0.0246836053203853,0.013513513513513514,1.608,1.869
205,0.0255395403675298,0.016891891891891893,1.593,1.772
93,0.03346342,0.02027027027027027,1.475,1.693
76,0.0341993625832789,0.02364864864864865,1.466,1.626
80,0.0361923916318788,0.02702702702702703,1.441,1.568
265,0.0398695773830485,0.030405405405405407,1.399,1.517
295,0.0407487641544355,0.033783783783783786,1.39,1.471
83,0.0411954599999998,0.037162162162162164,1.385,1.43
91,0.0420490976079995,0.04054054054054054,1.376,1.392
119,0.0441205809251288,0.04391891891891892,1.355,1.357
255,0.0453629001853875,0.0472972972972973,1.343,1.325
42,0.0471708499999999,0.05067567567567568,1.326,1.295
230,0.0566071580273445,0.05405405405405406,1.247,1.267
246,0.0571561662308241,0.057432432432432436,1.243,1.241
65,0.0592215797611453,0.060810810810810814,1.228,1.216
151,0.0653615999999998,0.06418918918918919,1.185,1.193
123,0.069625720820822,0.06756756756756757,1.157,1.17
234,0.082314587110057,0.07094594594594594,1.085,1.149
157,0.093551064612985,0.07432432432432433,1.029,1.129
81,0.109942996008293,0.0777027027027027,0.959,1.11
216,0.111656787892001,0.08108108108108109,0.952,1.091
252,0.114222702407764,0.08445945945945946,0.942,1.073
100,0.122732210196019,0.08783783783783784,0.911,1.056
210,0.143792850779082,0.09121621621621621,0.842,1.04
240,0.172866360174684,0.0945945945945946,0.762,1.024
248,0.187211848879094,0.09797297297297297,0.728,1.009
182,0.237845123138848,0.10135135135135136,0.624,0.994
32,0.25756728893611,0.10472972972972973,0.589,0.98
125,0.306067984475112,0.10810810810810811,0.514,0.966
124,0.32840027804002,0.11148648648648649,0.484,0.953
29,0.34854643997367,0.11486486486486487,0.458,0.94
133,0.369644733340544,0.11824324324324324,0.432,0.927
43,0.383387254615816,0.12162162162162163,0.416,0.915
232,0.414187599951913,0.125,0.383,0.903
188,0.434304593694981,0.12837837837837837,0.362,0.892
122,0.446036931436601,0.13175675675675674,0.351,0.88
99,0.457973009713826,0.13513513513513514,0.339,0.869
156,0.464855235080087,0.13851351351351351,0.333,0.859
171,0.466912525697359,0.14189189189189189,0.331,0.848
225,0.472213025487093,0.14527027027027026,0.326,0.838
259,0.475642803608574,0.14864864864864866,0.323,0.828
174,0.480123703276498,0.15202702702702703,0.319,0.818
113,0.481478700898983,0.1554054054054054,0.317,0.809
177,0.5060644,0.15878378378378377,0.296,0.799
226,0.506783003047418,0.16216216216216217,0.295,0.79
282,0.510498054315918,0.16554054054054054,0.292,0.781
287,0.535878256431305,0.16891891891891891,0.271,0.772
165,0.536342570928656,0.17229729729729729,0.271,0.764
108,0.536533167297362,0.17567567567567569,0.27,0.755
244,0.54029696476116,0.17905405405405406,0.267,0.747
153,0.550435930541467,0.18243243243243243,0.259,0.739
228,0.55732676947558,0.1858108108108108,0.254,0.731
178,0.558202605312771,0.1891891891891892,0.253,0.723
218,0.561533676441997,0.19256756756756757,0.251,0.715
126,0.563470716148099,0.19594594594594594,0.249,0.708
253,0.563676587570975,0.19932432432432431,0.249,0.7
69,0.569319430762218,0.20270270270270271,0.245,0.693
41,0.570842565192594,0.20608108108108109,0.243,0.686
272,0.5745861,0.20945945945945946,0.241,0.679
129,0.582989808732536,0.21283783783783783,0.234,0.672
79,0.597481635171591,0.21621621621621623,0.224,0.665
12,0.60046992590419,0.2195945945945946,0.222,0.658
36,0.601935236355842,0.22297297297297297,0.22,0.652
221,0.60556485554026,0.22635135135135134,0.218,0.645
270,0.608090278827394,0.22972972972972974,0.216,0.639
22,0.608632955866636,0.23310810810810811,0.216,0.632
267,0.609395145520472,0.23648648648648649,0.215,0.626
276,0.612971039876113,0.23986486486486486,0.213,0.62
224,0.616541521946274,0.24324324324324326,0.21,0.614
249,0.620764826708817,0.24662162162162163,0.207,0.608
17,0.623234622949351,0.25,0.205,0.602
56,0.627036318635212,0.2533783783783784,0.203,0.596
103,0.630626740020243,0.25675675675675674,0.2,0.59
55,0.635617140538955,0.26013513513513514,0.197,0.585
293,0.641848913908059,0.2635135135135135,0.193,0.579
190,0.643225437078109,0.2668918918918919,0.192,0.574
