,P,Exp P,Log P,Log Exp P
7,0.1996877,0.05555555555555555,0.7,1.255
12,0.3523415,0.1111111111111111,0.453,0.954
8,0.3559848,0.16666666666666666,0.449,0.778
9,0.4542814,0.2222222222222222,0.343,0.653
6,0.4571544,0.2777777777777778,0.34,0.556
10,0.4760933,0.3333333333333333,0.322,0.477
3,0.4829683,0.3888888888888889,0.316,0.41
2,0.5036026,0.4444444444444444,0.298,0.352
13,0.5060644,0.5,0.296,0.301
1,0.5125525,0.5555555555555556,0.29,0.255
17,0.5376553,0.6111111111111112,0.269,0.214
15,0.5475953,0.6666666666666666,0.262,0.176
4,0.5538728,0.7222222222222222,0.257,0.141
5,0.5638904,0.7777777777777778,0.249,0.109
16,0.5745861,0.8333333333333334,0.241,0.079
11,0.619615,0.8888888888888888,0.208,0.051
0,0.6365776,0.9444444444444444,0.196,0.025
14,0.6757897,1.0,0.17,-0.0
