,P,Exp P,Log P,Log Exp P
215,0.0008232469200484,0.0033003300330033004,3.084,2.481
217,0.0018563104128043,0.006600660066006601,2.731,2.18
262,0.0024847172432304,0.009900990099009901,2.605,2.004
236,0.0062092766886209,0.013201320132013201,2.207,1.879
80,0.0069857739066794,0.0165016501650165,2.156,1.782
5,0.0071448965506406,0.019801980198019802,2.146,1.703
98,0.0103922868977679,0.0231023102310231,1.983,1.636
286,0.014020294398424,0.026402640264026403,1.853,1.578
58,0.0166908568239023,0.0297029702970297,1.778,1.527
247,0.0219249813008747,0.033003300330033,1.659,1.481
226,0.0245162245799514,0.036303630363036306,1.611,1.44
68,0.0279465416768713,0.039603960396039604,1.554,1.402
154,0.0286949469210688,0.0429042904290429,1.542,1.367
132,0.0358387136578794,0.0462046204620462,1.446,1.335
177,0.0363981723841896,0.04950495049504951,1.439,1.305
263,0.0464876137581438,0.052805280528052806,1.333,1.277
102,0.0465702568271102,0.056105610561056105,1.332,1.251
81,0.0528899715116617,0.0594059405940594,1.277,1.226
85,0.0539920662801916,0.0627062706270627,1.268,1.203
159,0.0548925905859165,0.066006600660066,1.26,1.18
69,0.0594332095378281,0.06930693069306931,1.226,1.159
19,0.0598715050237792,0.07260726072607261,1.223,1.139
9,0.0690521287850847,0.07590759075907591,1.161,1.12
105,0.0855877287903279,0.07920792079207921,1.068,1.101
179,0.0878364488071293,0.08250825082508251,1.056,1.084
35,0.0893672685658525,0.0858085808580858,1.049,1.066
13,0.0915402635369957,0.0891089108910891,1.038,1.05
73,0.10290711557355,0.0924092409240924,0.988,1.034
169,0.105786907231605,0.09570957095709572,0.976,1.019
287,0.107625522250901,0.09900990099009901,0.968,1.004
157,0.112590287323177,0.10231023102310231,0.948,0.99
182,0.112761066457287,0.10561056105610561,0.948,0.976
258,0.114887561846144,0.10891089108910891,0.94,0.963
208,0.116622249579863,0.11221122112211221,0.933,0.95
221,0.119699234075345,0.11551155115511551,0.922,0.937
24,0.121941012276366,0.1188118811881188,0.914,0.925
147,0.128704760586928,0.12211221122112212,0.89,0.913
256,0.131069792537879,0.1254125412541254,0.882,0.902
167,0.133574833434956,0.12871287128712872,0.874,0.89
11,0.135900892995371,0.132013201320132,0.867,0.879
243,0.138095751520762,0.1353135313531353,0.86,0.869
75,0.138351536768983,0.13861386138613863,0.859,0.858
28,0.138827471355129,0.1419141914191419,0.858,0.848
164,0.141174491895713,0.14521452145214522,0.85,0.838
184,0.141812759341633,0.1485148514851485,0.848,0.828
237,0.142390495716372,0.15181518151815182,0.847,0.819
3,0.145213338052915,0.1551155115511551,0.838,0.809
65,0.14736831876177,0.15841584158415842,0.832,0.8
250,0.147396740050937,0.1617161716171617,0.832,0.791
172,0.14801500306013,0.16501650165016502,0.83,0.782
297,0.149568081134494,0.16831683168316833,0.825,0.774
62,0.149971126608358,0.1716171617161716,0.824,0.765
93,0.153071806949036,0.17491749174917492,0.815,0.757
253,0.157324807381101,0.1782178217821782,0.803,0.749
269,0.159858138063535,0.18151815181518152,0.796,0.741
219,0.161041451430952,0.1848184818481848,0.793,0.733
273,0.162070157827754,0.18811881188118812,0.79,0.726
240,0.165170192291161,0.19141914191419143,0.782,0.718
291,0.16527996388308,0.19471947194719472,0.782,0.711
89,0.166136291320655,0.19801980198019803,0.78,0.703
204,0.16776222946144,0.20132013201320131,0.775,0.696
95,0.175339478914415,0.20462046204620463,0.756,0.689
300,0.176568578427161,0.2079207920792079,0.753,0.682
197,0.179850640678399,0.21122112211221122,0.745,0.675
289,0.180388230818603,0.2145214521452145,0.744,0.669
104,0.181261765749398,0.21782178217821782,0.742,0.662
185,0.188029578112476,0.22112211221122113,0.726,0.655
183,0.188077144745752,0.22442244224422442,0.726,0.649
295,0.192396501595246,0.22772277227722773,0.716,0.643
280,0.193950561161687,0.23102310231023102,0.712,0.636
127,0.199413240151687,0.23432343234323433,0.7,0.63
18,0.212886682531178,0.2376237623762376,0.672,0.624
153,0.214170950479781,0.24092409240924093,0.669,0.618
17,0.219565076849747,0.24422442244224424,0.658,0.612
162,0.231293081355111,0.24752475247524752,0.636,0.606
259,0.233794835197405,0.2508250825082508,0.631,0.601
166,0.239005241406939,0.25412541254125415,0.622,0.595
241,0.239117658793664,0.25742574257425743,0.621,0.589
216,0.242869145797968,0.2607260726072607,0.615,0.584
108,0.254201130982503,0.264026402640264,0.595,0.578
212,0.261456440743774,0.26732673267326734,0.583,0.573
49,0.263082164266543,0.2706270627062706,0.58,0.568
296,0.272907346096186,0.2739273927392739,0.564,0.562
103,0.274524628252684,0.27722772277227725,0.561,0.557
233,0.277287330368744,0.28052805280528054,0.557,0.552
163,0.279067177719658,0.2838283828382838,0.554,0.547
267,0.279351041792441,0.2871287128712871,0.554,0.542
206,0.280254462881427,0.29042904290429045,0.552,0.537
43,0.28137976150441,0.29372937293729373,0.551,0.532
274,0.291853925563869,0.297029702970297,0.535,0.527
181,0.292277867418976,0.30033003300330036,0.534,0.522
59,0.294273587495673,0.30363036303630364,0.531,0.518
152,0.29443076855556,0.3069306930693069,0.531,0.513
293,0.295281821900211,0.3102310231023102,0.53,0.508
54,0.295857458402121,0.31353135313531355,0.529,0.504
79,0.302111840536043,0.31683168316831684,0.52,0.499
146,0.303930922895059,0.3201320132013201,0.517,0.495
220,0.308322363353849,0.3234323432343234,0.511,0.49
271,0.315790184024223,0.32673267326732675,0.501,0.486
66,0.316852796448252,0.33003300330033003,0.499,0.481
123,0.317788492301765,0.3333333333333333,0.498,0.477
205,0.330198869375516,0.33663366336633666,0.481,0.473
176,0.332165748922517,0.33993399339933994,0.479,0.469
218,0.335047348775557,0.3432343234323432,0.475,0.464
26,0.340479068313419,0.3465346534653465,0.468,0.46
64,0.345811911246757,0.34983498349834985,0.461,0.456
94,0.346690580685095,0.35313531353135313,0.46,0.452
144,0.355303035160003,0.3564356435643564,0.449,0.448
29,0.356798991594623,0.35973597359735976,0.448,0.444
148,0.35791304445247,0.36303630363036304,0.446,0.44
51,0.358787699824742,0.36633663366336633,0.445,0.436
180,0.360398053854744,0.3696369636963696,0.443,0.432
67,0.360589266928503,0.37293729372937295,0.443,0.428
31,0.361858674434253,0.37623762376237624,0.441,0.425
211,0.363922824625019,0.3795379537953795,0.439,0.421
53,0.365314404166587,0.38283828382838286,0.437,0.417
82,0.368005875382105,0.38613861386138615,0.434,0.413
276,0.36891175566263,0.38943894389438943,0.433,0.41
125,0.380697670255471,0.3927392739273927,0.419,0.406
294,0.382039511297698,0.39603960396039606,0.418,0.402
255,0.384066760418966,0.39933993399339934,0.416,0.399
86,0.39071202940412,0.40264026402640263,0.408,0.395
290,0.391343515909485,0.40594059405940597,0.407,0.392
111,0.394090661750393,0.40924092409240925,0.404,0.388
135,0.396958738231819,0.41254125412541254,0.401,0.385
140,0.398061504760026,0.4158415841584158,0.4,0.381
230,0.399484843823312,0.41914191419141916,0.398,0.378
199,0.403576768478185,0.42244224422442245,0.394,0.374
213,0.41244434360177,0.42574257425742573,0.385,0.371
198,0.416848276761426,0.429042904290429,0.38,0.367
78,0.423537176422228,0.43234323432343236,0.373,0.364
134,0.428341939370227,0.43564356435643564,0.368,0.361
301,0.451845298014126,0.4389438943894389,0.345,0.358
174,0.464751223175657,0.44224422442244227,0.333,0.354
223,0.465476106006195,0.44554455445544555,0.332,0.351
77,0.467628060615163,0.44884488448844884,0.33,0.348
231,0.468438199773994,0.4521452145214521,0.329,0.345
7,0.469545405795516,0.45544554455445546,0.328,0.342
57,0.469637360218567,0.45874587458745875,0.328,0.338
56,0.474681160282636,0.46204620462046203,0.324,0.335
90,0.481151708972874,0.46534653465346537,0.318,0.332
91,0.481848039152157,0.46864686468646866,0.317,0.329
139,0.489115581135702,0.47194719471947194,0.311,0.326
