,P,Exp P,Log P,Log Exp P
7,0.04204325,0.038461538461538464,1.376,1.415
18,0.1127611,0.07692307692307693,0.948,1.114
3,0.1148605,0.11538461538461539,0.94,0.938
2,0.1196571,0.15384615384615385,0.922,0.813
20,0.1580232,0.19230769230769232,0.801,0.716
11,0.1717137,0.23076923076923078,0.765,0.637
16,0.2109217,0.2692307692307692,0.676,0.57
19,0.2423955,0.3076923076923077,0.615,0.512
6,0.2667668,0.34615384615384615,0.574,0.461
12,0.3343182,0.38461538461538464,0.476,0.415
1,0.3793986,0.4230769230769231,0.421,0.374
17,0.4046378,0.46153846153846156,0.393,0.336
13,0.431141,0.5,0.365,0.301
25,0.4321962,0.5384615384615384,0.364,0.269
14,0.4628489,0.5769230769230769,0.335,0.239
8,0.4645459,0.6153846153846154,0.333,0.211
24,0.4913004,0.6538461538461539,0.309,0.185
9,0.6242535,0.6923076923076923,0.205,0.16
15,0.6372627,0.7307692307692307,0.196,0.136
23,0.6457225,0.7692307692307693,0.19,0.114
0,0.6727424,0.8076923076923077,0.172,0.093
5,0.709069,0.8461538461538461,0.149,0.073
4,0.7884018,0.8846153846153846,0.103,0.053
21,0.8407169,0.9230769230769231,0.075,0.035
22,0.859721,0.9615384615384616,0.066,0.017
10,0.959062,1.0,0.018,-0.0
