,P,Exp P,Log P,Log Exp P
207,0.0006804561831224,0.0037735849056603774,3.167,2.423
214,0.0035999123248932,0.007547169811320755,2.444,2.122
83,0.0036051848658921,0.011320754716981131,2.443,1.946
14,0.0042360047800467,0.01509433962264151,2.373,1.821
255,0.0106575093465774,0.018867924528301886,1.972,1.724
205,0.018529105784185,0.022641509433962263,1.732,1.645
226,0.0224613120590466,0.026415094339622643,1.649,1.578
50,0.023439672973596,0.03018867924528302,1.63,1.52
152,0.0246840049069376,0.033962264150943396,1.608,1.469
199,0.0264841338794731,0.03773584905660377,1.577,1.423
236,0.0271223316812918,0.04150943396226415,1.567,1.382
19,0.0280237550195122,0.045283018867924525,1.552,1.344
118,0.0400261736860805,0.04905660377358491,1.398,1.309
176,0.0444602496690002,0.052830188679245285,1.352,1.277
191,0.0452504097635213,0.05660377358490566,1.344,1.247
251,0.0487742091000118,0.06037735849056604,1.312,1.219
23,0.0574537492513483,0.06415094339622641,1.241,1.193
222,0.0609478700705629,0.06792452830188679,1.215,1.168
71,0.061392986194589,0.07169811320754717,1.212,1.144
80,0.0668197434615575,0.07547169811320754,1.175,1.122
171,0.0668607380650192,0.07924528301886792,1.175,1.101
135,0.0743005943927348,0.0830188679245283,1.129,1.081
44,0.0823592580447074,0.08679245283018867,1.084,1.062
188,0.0890576055436086,0.09056603773584905,1.05,1.043
254,0.0964439726844317,0.09433962264150944,1.016,1.025
136,0.102883779353964,0.09811320754716982,0.988,1.008
169,0.104446295940632,0.1018867924528302,0.981,0.992
34,0.10493675417556,0.10566037735849057,0.979,0.976
235,0.109720267859194,0.10943396226415095,0.96,0.961
37,0.110008986838014,0.11320754716981132,0.959,0.946
117,0.113404824559757,0.1169811320754717,0.945,0.932
221,0.114154219582061,0.12075471698113208,0.943,0.918
240,0.122423806426448,0.12452830188679245,0.912,0.905
203,0.124965285516143,0.12830188679245283,0.903,0.892
27,0.12720854770277,0.1320754716981132,0.895,0.879
187,0.12862197470219,0.13584905660377358,0.891,0.867
120,0.133765579931582,0.13962264150943396,0.874,0.855
150,0.135448918703297,0.14339622641509434,0.868,0.843
113,0.138875479437809,0.1471698113207547,0.857,0.832
177,0.139753004203973,0.1509433962264151,0.855,0.821
219,0.147840670125815,0.15471698113207547,0.83,0.81
140,0.149496614794332,0.15849056603773584,0.825,0.8
5,0.151520419060358,0.16226415094339622,0.82,0.79
182,0.159114078030207,0.1660377358490566,0.798,0.78
82,0.159627901067003,0.16981132075471697,0.797,0.77
228,0.162048783270544,0.17358490566037735,0.79,0.76
210,0.162439440576152,0.17735849056603772,0.789,0.751
1,0.163408002311009,0.1811320754716981,0.787,0.742
64,0.166062153521522,0.18490566037735848,0.78,0.733
143,0.168416810921276,0.18867924528301888,0.774,0.724
22,0.172491218274562,0.19245283018867926,0.763,0.716
56,0.17910388372487,0.19622641509433963,0.747,0.707
138,0.193985586201744,0.2,0.712,0.699
151,0.194184816595611,0.2037735849056604,0.712,0.691
54,0.202106840552138,0.20754716981132076,0.694,0.683
253,0.213110309566468,0.21132075471698114,0.671,0.675
15,0.214385102789082,0.21509433962264152,0.669,0.667
94,0.21495444760838,0.2188679245283019,0.668,0.66
86,0.215667785835595,0.22264150943396227,0.666,0.652
164,0.215677881164736,0.22641509433962265,0.666,0.645
168,0.231826078077925,0.23018867924528302,0.635,0.638
123,0.233976448877551,0.2339622641509434,0.631,0.631
4,0.243493223044153,0.23773584905660378,0.614,0.624
160,0.24594782755463,0.24150943396226415,0.609,0.617
192,0.246821515600385,0.24528301886792453,0.608,0.61
74,0.247256579731715,0.2490566037735849,0.607,0.604
241,0.250665567283581,0.2528301886792453,0.601,0.597
174,0.251415305337984,0.25660377358490566,0.6,0.591
181,0.253374616835262,0.26037735849056604,0.596,0.584
32,0.253559264573486,0.2641509433962264,0.596,0.578
87,0.261052207285983,0.2679245283018868,0.583,0.572
121,0.261733667312719,0.27169811320754716,0.582,0.566
93,0.262488064939072,0.27547169811320754,0.581,0.56
201,0.269327896558788,0.2792452830188679,0.57,0.554
247,0.273278294883469,0.2830188679245283,0.563,0.548
55,0.280500369296445,0.28679245283018867,0.552,0.542
8,0.284749836599588,0.29056603773584905,0.546,0.537
38,0.288966277579641,0.2943396226415094,0.539,0.531
172,0.290352438903609,0.2981132075471698,0.537,0.526
76,0.295158746700093,0.3018867924528302,0.53,0.52
227,0.29558212350642,0.30566037735849055,0.529,0.515
0,0.296646242203516,0.30943396226415093,0.528,0.509
116,0.29905965319344,0.3132075471698113,0.524,0.504
28,0.299806158464779,0.3169811320754717,0.523,0.499
114,0.305243456977916,0.32075471698113206,0.515,0.494
231,0.322406735878712,0.32452830188679244,0.492,0.489
29,0.323860542022357,0.3283018867924528,0.49,0.484
217,0.327572452126648,0.3320754716981132,0.485,0.479
233,0.330186661290439,0.33584905660377357,0.481,0.474
70,0.331596810219178,0.33962264150943394,0.479,0.469
73,0.334890380157985,0.3433962264150943,0.475,0.464
91,0.342945263606823,0.3471698113207547,0.465,0.459
2,0.347456323291303,0.35094339622641507,0.459,0.455
63,0.361041401900868,0.35471698113207545,0.442,0.45
96,0.367574256520538,0.3584905660377358,0.435,0.446
249,0.375024336722017,0.3622641509433962,0.426,0.441
122,0.387968426948799,0.3660377358490566,0.411,0.436
141,0.388467108458997,0.36981132075471695,0.411,0.432
78,0.390877649806699,0.37358490566037733,0.408,0.428
108,0.392541798986297,0.37735849056603776,0.406,0.423
43,0.393188773247541,0.38113207547169814,0.405,0.419
259,0.39706986934291,0.3849056603773585,0.401,0.415
159,0.398636533893986,0.3886792452830189,0.399,0.41
109,0.401571937501937,0.39245283018867927,0.396,0.406
90,0.408986801308409,0.39622641509433965,0.388,0.402
62,0.4125468719047,0.4,0.385,0.398
46,0.413813547250532,0.4037735849056604,0.383,0.394
60,0.417906699280708,0.4075471698113208,0.379,0.39
198,0.422676813608309,0.41132075471698115,0.374,0.386
92,0.424305448533753,0.41509433962264153,0.372,0.382
49,0.430862522533421,0.4188679245283019,0.366,0.378
242,0.436834336546296,0.4226415094339623,0.36,0.374
212,0.437933285259379,0.42641509433962266,0.359,0.37
245,0.441548471381178,0.43018867924528303,0.355,0.366
12,0.444457035553202,0.4339622641509434,0.352,0.363
102,0.447248984379905,0.4377358490566038,0.349,0.359
190,0.44895757659379,0.44150943396226416,0.348,0.355
193,0.453835653159067,0.44528301886792454,0.343,0.351
33,0.462538436384955,0.4490566037735849,0.335,0.348
153,0.466865128353992,0.4528301886792453,0.331,0.344
106,0.466952524908845,0.45660377358490567,0.331,0.34
66,0.477662894716127,0.46037735849056605,0.321,0.337
230,0.48043694627771,0.4641509433962264,0.318,0.333
165,0.483713407417554,0.4679245283018868,0.315,0.33
154,0.488578264486246,0.4716981132075472,0.311,0.326
84,0.489312168962209,0.47547169811320755,0.31,0.323
119,0.489738991531322,0.47924528301886793,0.31,0.319
58,0.49826745922367,0.4830188679245283,0.303,0.316
189,0.501784067375021,0.4867924528301887,0.299,0.313
166,0.503006879611511,0.49056603773584906,0.298,0.309
155,0.51507171985032,0.49433962264150944,0.288,0.306
124,0.515155933160942,0.4981132075471698,0.288,0.303
173,0.517087745813943,0.5018867924528302,0.286,0.299
36,0.518890604975498,0.5056603773584906,0.285,0.296
213,0.525332792077317,0.5094339622641509,0.28,0.293
10,0.525724525691919,0.5132075471698113,0.279,0.29
183,0.533904491746033,0.5169811320754717,0.273,0.287
196,0.534592783285161,0.5207547169811321,0.272,0.283
127,0.539758842194548,0.5245283018867924,0.268,0.28
232,0.541720710016302,0.5283018867924528,0.266,0.277
224,0.552270843465553,0.5320754716981132,0.258,0.274
137,0.555609216935519,0.5358490566037736,0.255,0.271
180,0.557240322012067,0.539622641509434,0.254,0.268
31,0.557349312110112,0.5433962264150943,0.254,0.265
39,0.564991246745337,0.5471698113207547,0.248,0.262
256,0.567032891577122,0.5509433962264151,0.246,0.259
79,0.567346809106817,0.5547169811320755,0.246,0.256
209,0.571313175390318,0.5584905660377358,0.243,0.253
130,0.571519304600265,0.5622641509433962,0.243,0.25
158,0.572062002053833,0.5660377358490566,0.243,0.247
18,0.572552550254109,0.569811320754717,0.242,0.244
69,0.572853513826268,0.5735849056603773,0.242,0.241
16,0.574648633987286,0.5773584905660377,0.241,0.239
68,0.580676874426754,0.5811320754716981,0.236,0.236
162,0.581558444351476,0.5849056603773585,0.235,0.233
243,0.582250026846088,0.5886792452830188,0.235,0.23
252,0.58254334494946,0.5924528301886792,0.235,0.227
261,0.585616690121961,0.5962264150943396,0.232,0.225
17,0.590196179859159,0.6,0.229,0.222
260,0.593631022304487,0.6037735849056604,0.226,0.219
53,0.594553849719911,0.6075471698113207,0.226,0.216
75,0.595205871656128,0.6113207547169811,0.225,0.214
175,0.595427303647019,0.6150943396226415,0.225,0.211
250,0.611096559938934,0.6188679245283019,0.214,0.208
223,0.616760637560183,0.6226415094339622,0.21,0.206
81,0.624805138851489,0.6264150943396226,0.204,0.203
89,0.625839155500469,0.630188679245283,0.204,0.201
178,0.627678415027339,0.6339622641509434,0.202,0.198
220,0.640608150888109,0.6377358490566037,0.193,0.195
103,0.644199346905298,0.6415094339622641,0.191,0.193
149,0.652086893083488,0.6452830188679245,0.186,0.19
144,0.654698823057354,0.6490566037735849,0.184,0.188
133,0.668765512672793,0.6528301886792452,0.175,0.185
128,0.670405553832337,0.6566037735849056,0.174,0.183
41,0.676039176737997,0.660377358490566,0.17,0.18
238,0.677418401202588,0.6641509433962264,0.169,0.178
24,0.680368125949968,0.6679245283018868,0.167,0.175
72,0.682930328385699,0.6716981132075471,0.166,0.173
67,0.683210900842899,0.6754716981132075,0.165,0.17
47,0.688737429225734,0.6792452830188679,0.162,0.168
26,0.698057904670904,0.6830188679245283,0.156,0.166
132,0.698647534022234,0.6867924528301886,0.156,0.163
