,P,Exp P,Log P,Log Exp P
261,0.0155993435791095,0.003246753246753247,1.807,2.489
221,0.0159720656008763,0.006493506493506494,1.797,2.188
141,0.0160917832157963,0.00974025974025974,1.793,2.011
53,0.0177971124696552,0.012987012987012988,1.75,1.886
97,0.02366075,0.016233766233766232,1.626,1.79
49,0.0347097769244229,0.01948051948051948,1.46,1.71
230,0.0403409600000001,0.022727272727272728,1.394,1.643
64,0.0415558199999999,0.025974025974025976,1.381,1.585
135,0.0501213330701703,0.02922077922077922,1.3,1.534
36,0.0604887581784124,0.032467532467532464,1.218,1.489
189,0.0633860119420916,0.03571428571428571,1.198,1.447
271,0.0657237809013447,0.03896103896103896,1.182,1.409
305,0.0677597836160998,0.04220779220779221,1.169,1.375
276,0.0779329765510515,0.045454545454545456,1.108,1.342
110,0.0819866942473016,0.048701298701298704,1.086,1.312
96,0.0889401184299696,0.05194805194805195,1.051,1.284
83,0.0907697085738594,0.05519480519480519,1.042,1.258
33,0.0949353556147381,0.05844155844155844,1.023,1.233
58,0.0969477580887274,0.06168831168831169,1.013,1.21
212,0.0988586711412397,0.06493506493506493,1.005,1.188
267,0.102776971135716,0.06818181818181818,0.988,1.166
258,0.103641424214928,0.07142857142857142,0.984,1.146
52,0.105250359756456,0.07467532467532467,0.978,1.127
39,0.108614594622513,0.07792207792207792,0.964,1.108
207,0.113643771011149,0.08116883116883117,0.944,1.091
122,0.116641712885109,0.08441558441558442,0.933,1.074
82,0.118973265638772,0.08766233766233766,0.925,1.057
169,0.120145715095279,0.09090909090909091,0.92,1.041
256,0.125826543919904,0.09415584415584416,0.9,1.026
59,0.136931373491758,0.09740259740259741,0.863,1.011
16,0.13745867008742,0.10064935064935066,0.862,0.997
105,0.149690210210006,0.1038961038961039,0.825,0.983
30,0.155710760052257,0.10714285714285714,0.808,0.97
100,0.160582706948343,0.11038961038961038,0.794,0.957
162,0.164996605687576,0.11363636363636363,0.783,0.944
113,0.165767639889068,0.11688311688311688,0.781,0.932
223,0.166384845171918,0.12012987012987013,0.779,0.92
195,0.169934216392077,0.12337662337662338,0.77,0.909
211,0.180227486187931,0.1266233766233766,0.744,0.897
243,0.191484770625802,0.12987012987012986,0.718,0.886
251,0.192627172586712,0.1331168831168831,0.715,0.876
91,0.19538857659968,0.13636363636363635,0.709,0.865
106,0.198656107247824,0.1396103896103896,0.702,0.855
31,0.201368371215686,0.14285714285714285,0.696,0.845
240,0.207721255802481,0.1461038961038961,0.683,0.835
194,0.208482384588075,0.14935064935064934,0.681,0.826
291,0.210647610813767,0.1525974025974026,0.676,0.816
79,0.220910291594887,0.15584415584415584,0.656,0.807
296,0.225840629866848,0.1590909090909091,0.646,0.798
37,0.229189287861992,0.16233766233766234,0.64,0.79
226,0.230061410863017,0.16558441558441558,0.638,0.781
228,0.233977761950265,0.16883116883116883,0.631,0.773
10,0.237540994639625,0.17207792207792208,0.624,0.764
152,0.237652794574645,0.17532467532467533,0.624,0.756
41,0.240290622865054,0.17857142857142858,0.619,0.748
103,0.241054485906781,0.18181818181818182,0.618,0.74
197,0.245400263404298,0.18506493506493507,0.61,0.733
62,0.245847285245534,0.18831168831168832,0.609,0.725
156,0.247847078979041,0.19155844155844157,0.606,0.718
188,0.257852323062862,0.19480519480519481,0.589,0.71
5,0.267670388727312,0.19805194805194806,0.572,0.703
145,0.270124625651407,0.2012987012987013,0.568,0.696
84,0.271661659144164,0.20454545454545456,0.566,0.689
164,0.273536230713066,0.2077922077922078,0.563,0.682
46,0.274926276827713,0.21103896103896103,0.561,0.676
219,0.282680863035868,0.21428571428571427,0.549,0.669
51,0.291747718107187,0.21753246753246752,0.535,0.662
77,0.291929967638487,0.22077922077922077,0.535,0.656
199,0.297340726897237,0.22402597402597402,0.527,0.65
112,0.299434748832311,0.22727272727272727,0.524,0.643
17,0.302032286646258,0.2305194805194805,0.52,0.637
268,0.306842599944996,0.23376623376623376,0.513,0.631
124,0.307415864729631,0.237012987012987,0.512,0.625
246,0.310433986841775,0.24025974025974026,0.508,0.619
154,0.314884463423063,0.2435064935064935,0.502,0.613
2,0.317701181904394,0.24675324675324675,0.498,0.608
265,0.320337618322609,0.25,0.494,0.602
208,0.3297705746446,0.2532467532467532,0.482,0.596
264,0.331495223047766,0.2564935064935065,0.48,0.591
176,0.333037066661149,0.2597402597402597,0.478,0.585
193,0.338604207199956,0.262987012987013,0.47,0.58
155,0.343350801071278,0.2662337662337662,0.464,0.575
123,0.348921079944422,0.2694805194805195,0.457,0.569
283,0.35186917613654,0.2727272727272727,0.454,0.564
117,0.357832306327314,0.275974025974026,0.446,0.559
121,0.359294341766579,0.2792207792207792,0.445,0.554
215,0.359306492015907,0.2824675324675325,0.445,0.549
177,0.36373892814464,0.2857142857142857,0.439,0.544
108,0.365718808064079,0.288961038961039,0.437,0.539
140,0.365842345936758,0.2922077922077922,0.437,0.534
292,0.370803623742708,0.29545454545454547,0.431,0.53
3,0.370804355298489,0.2987012987012987,0.431,0.525
114,0.376069973365981,0.30194805194805197,0.425,0.52
125,0.380726145406886,0.3051948051948052,0.419,0.515
293,0.383666942856268,0.30844155844155846,0.416,0.511
94,0.386236459603688,0.3116883116883117,0.413,0.506
192,0.38736871326493,0.31493506493506496,0.412,0.502
136,0.389039589062902,0.3181818181818182,0.41,0.497
304,0.391028241262331,0.32142857142857145,0.408,0.493
168,0.394044451654979,0.3246753246753247,0.404,0.489
202,0.394966551744278,0.32792207792207795,0.403,0.484
166,0.395401143401008,0.33116883116883117,0.403,0.48
35,0.396212000985149,0.3344155844155844,0.402,0.476
48,0.397829526585554,0.33766233766233766,0.4,0.472
190,0.399433135836552,0.3409090909090909,0.399,0.467
109,0.403443417082548,0.34415584415584416,0.394,0.463
205,0.404302603358143,0.3474025974025974,0.393,0.459
74,0.406068568551237,0.35064935064935066,0.391,0.455
151,0.409907728473697,0.3538961038961039,0.387,0.451
142,0.410982679410831,0.35714285714285715,0.386,0.447
275,0.415527260755118,0.36038961038961037,0.381,0.443
25,0.419942001358576,0.36363636363636365,0.377,0.439
116,0.420550082948293,0.36688311688311687,0.376,0.435
284,0.4209688,0.37012987012987014,0.376,0.432
303,0.427486329459939,0.37337662337662336,0.369,0.428
28,0.431428152692761,0.37662337662337664,0.365,0.424
203,0.437634741866715,0.37987012987012986,0.359,0.42
160,0.444303126698345,0.38311688311688313,0.352,0.417
285,0.445975808140928,0.38636363636363635,0.351,0.413
290,0.447416101342554,0.38961038961038963,0.349,0.409
250,0.450520397138197,0.39285714285714285,0.346,0.406
224,0.450784871190564,0.3961038961038961,0.346,0.402
266,0.452997268040637,0.39935064935064934,0.344,0.399
206,0.463535958532688,0.4025974025974026,0.334,0.395
244,0.466571352871368,0.40584415584415584,0.331,0.392
55,0.476542721117901,0.4090909090909091,0.322,0.388
161,0.476695319477232,0.41233766233766234,0.322,0.385
163,0.478906367016485,0.4155844155844156,0.32,0.381
128,0.485022714404036,0.41883116883116883,0.314,0.378
272,0.486545952050475,0.42207792207792205,0.313,0.375
181,0.491105039928213,0.4253246753246753,0.309,0.371
131,0.493465071203976,0.42857142857142855,0.307,0.368
255,0.500261222961359,0.4318181818181818,0.301,0.365
92,0.500268262344959,0.43506493506493504,0.301,0.361
147,0.506383265937788,0.4383116883116883,0.296,0.358
86,0.50666052889054,0.44155844155844154,0.295,0.355
111,0.509235853809343,0.4448051948051948,0.293,0.352
56,0.513837205248282,0.44805194805194803,0.289,0.349
294,0.516978808310613,0.4512987012987013,0.287,0.346
65,0.520158941948388,0.45454545454545453,0.284,0.342
175,0.528676987092208,0.4577922077922078,0.277,0.339
23,0.528683744344826,0.461038961038961,0.277,0.336
269,0.529568666766652,0.4642857142857143,0.276,0.333
213,0.533146167929508,0.4675324675324675,0.273,0.33
148,0.53430193925207,0.4707792207792208,0.272,0.327
9,0.534914096770409,0.474025974025974,0.272,0.324
