,P,Exp P,Log P,Log Exp P
6,0.04024729,0.038461538461538464,1.395,1.415
13,0.07492671,0.07692307692307693,1.125,1.114
19,0.1213125,0.11538461538461539,0.916,0.938
22,0.2944127,0.15384615384615385,0.531,0.813
11,0.3118692,0.19230769230769232,0.506,0.716
16,0.3440466,0.23076923076923078,0.463,0.637
3,0.3958728,0.2692307692307692,0.402,0.57
24,0.4209688,0.3076923076923077,0.376,0.512
5,0.4586741,0.34615384615384615,0.338,0.461
1,0.4877508,0.38461538461538464,0.312,0.415
25,0.5503646,0.4230769230769231,0.259,0.374
0,0.5641991,0.46153846153846156,0.249,0.336
20,0.6030174,0.5,0.22,0.301
7,0.6386959,0.5384615384615384,0.195,0.269
18,0.6800859,0.5769230769230769,0.167,0.239
23,0.6959233,0.6153846153846154,0.157,0.211
2,0.6997502,0.6538461538461539,0.155,0.185
8,0.7222744,0.6923076923076923,0.141,0.16
14,0.8053939,0.7307692307692307,0.094,0.136
10,0.8145799,0.7692307692307693,0.089,0.114
9,0.821157,0.8076923076923077,0.086,0.093
4,0.8251425,0.8461538461538461,0.083,0.073
17,0.9372865,0.8846153846153846,0.028,0.053
12,0.9500929,0.9230769230769231,0.022,0.035
15,0.957255,0.9615384615384616,0.019,0.017
21,0.9770113,1.0,0.01,-0.0
