,P,Exp P,Log P,Log Exp P
128,0.0066703944260152,0.003236245954692557,2.176,2.49
27,0.0100329494080611,0.006472491909385114,1.999,2.189
293,0.0156398327019645,0.009708737864077669,1.806,2.013
240,0.0200431469090369,0.012944983818770227,1.698,1.888
229,0.0246465899999999,0.016181229773462782,1.608,1.791
215,0.0258865965575476,0.019417475728155338,1.587,1.712
16,0.0407612239973209,0.022653721682847898,1.39,1.645
205,0.0467780938526685,0.025889967637540454,1.33,1.587
92,0.0500419999214635,0.02912621359223301,1.301,1.536
28,0.0528328899999999,0.032362459546925564,1.277,1.49
250,0.0577291900000001,0.03559870550161812,1.239,1.449
223,0.0592705099999998,0.038834951456310676,1.227,1.411
274,0.0634440499999999,0.042071197411003236,1.198,1.376
278,0.0678188607267792,0.045307443365695796,1.169,1.344
99,0.0734097437528121,0.04854368932038835,1.134,1.314
286,0.0774669400000002,0.05177993527508091,1.111,1.286
36,0.0780801632042623,0.05501618122977346,1.107,1.26
130,0.0884055700000001,0.05825242718446602,1.054,1.235
122,0.0936299328112402,0.061488673139158574,1.029,1.211
220,0.100018432084284,0.06472491909385113,1.0,1.189
219,0.109249764825312,0.06796116504854369,0.962,1.168
135,0.112087489379705,0.07119741100323625,0.95,1.148
125,0.113676948267619,0.0744336569579288,0.944,1.128
184,0.125023378227363,0.07766990291262135,0.903,1.11
175,0.125483355915581,0.08090614886731391,0.901,1.092
136,0.126021127645506,0.08414239482200647,0.9,1.075
1,0.129011708792881,0.08737864077669903,0.889,1.059
217,0.13134840001616,0.09061488673139159,0.882,1.043
275,0.138145862054028,0.09385113268608414,0.86,1.028
35,0.145075009925269,0.0970873786407767,0.838,1.013
101,0.158917031865155,0.10032362459546926,0.799,0.999
108,0.165117320147364,0.10355987055016182,0.782,0.985
123,0.167707069474815,0.10679611650485436,0.775,0.971
86,0.171066047472306,0.11003236245954692,0.767,0.958
285,0.174752474495831,0.11326860841423948,0.758,0.946
297,0.176418894319318,0.11650485436893204,0.753,0.934
58,0.179380925298365,0.11974110032362459,0.746,0.922
43,0.181180951738836,0.12297734627831715,0.742,0.91
291,0.19050743248958,0.1262135922330097,0.72,0.899
216,0.200166209571871,0.12944983818770225,0.699,0.888
7,0.203350696298407,0.13268608414239483,0.692,0.877
231,0.207646033407495,0.13592233009708737,0.683,0.867
115,0.213469867713917,0.13915857605177995,0.671,0.856
54,0.215206320075998,0.1423948220064725,0.667,0.847
25,0.217967050190531,0.14563106796116504,0.662,0.837
188,0.219459969775642,0.1488673139158576,0.659,0.827
34,0.221359554919068,0.15210355987055016,0.655,0.818
244,0.244852898613327,0.1553398058252427,0.611,0.809
243,0.247382453397158,0.15857605177993528,0.607,0.8
10,0.251347689700088,0.16181229773462782,0.6,0.791
18,0.251584454627136,0.1650485436893204,0.599,0.782
147,0.26257356597439,0.16828478964401294,0.581,0.774
241,0.265677598342975,0.1715210355987055,0.576,0.766
71,0.269477343310765,0.17475728155339806,0.569,0.758
282,0.275221652651817,0.1779935275080906,0.56,0.75
23,0.278467626021459,0.18122977346278318,0.555,0.742
12,0.288140012570822,0.18446601941747573,0.54,0.734
127,0.289436051658521,0.18770226537216828,0.538,0.727
298,0.291714773860085,0.19093851132686085,0.535,0.719
301,0.294524153912644,0.1941747572815534,0.531,0.712
289,0.295688873643065,0.19741100323624594,0.529,0.705
120,0.29831499042172,0.20064724919093851,0.525,0.698
106,0.30224677773639,0.20388349514563106,0.52,0.691
38,0.308266359738108,0.20711974110032363,0.511,0.684
245,0.312872726281759,0.21035598705501618,0.505,0.677
308,0.313538042646962,0.21359223300970873,0.504,0.67
52,0.313901150497638,0.2168284789644013,0.503,0.664
3,0.317092616910835,0.22006472491909385,0.499,0.657
252,0.31904134821511,0.22330097087378642,0.496,0.651
179,0.322138790192151,0.22653721682847897,0.492,0.645
225,0.323611725053234,0.2297734627831715,0.49,0.639
89,0.327595470708148,0.23300970873786409,0.485,0.633
44,0.333567525757724,0.23624595469255663,0.477,0.627
168,0.335717198509258,0.23948220064724918,0.474,0.621
242,0.339308434223174,0.24271844660194175,0.469,0.615
234,0.339684406061243,0.2459546925566343,0.469,0.609
300,0.351825218928737,0.24919093851132687,0.454,0.603
105,0.357652575419254,0.2524271844660194,0.447,0.598
112,0.35786480149119,0.255663430420712,0.446,0.592
292,0.358159001022739,0.2588996763754045,0.446,0.587
194,0.363485572595534,0.2621359223300971,0.44,0.581
212,0.365713770572363,0.26537216828478966,0.437,0.576
88,0.367207157109289,0.2686084142394822,0.435,0.571
50,0.368243634055691,0.27184466019417475,0.434,0.566
102,0.371979129706357,0.2750809061488673,0.429,0.561
6,0.37763178132707,0.2783171521035599,0.423,0.555
207,0.390805848168717,0.2815533980582524,0.408,0.55
238,0.393417186271237,0.284789644012945,0.405,0.545
126,0.40250672519528,0.28802588996763756,0.395,0.541
254,0.405857545335348,0.2912621359223301,0.392,0.536
82,0.41721867309107,0.29449838187702265,0.38,0.531
129,0.419692761793267,0.2977346278317152,0.377,0.526
267,0.421735294873568,0.30097087378640774,0.375,0.521
249,0.422037340009409,0.3042071197411003,0.375,0.517
180,0.423096845930729,0.3074433656957929,0.374,0.512
121,0.42628883008329,0.3106796116504854,0.37,0.508
258,0.440652613727134,0.313915857605178,0.356,0.503
277,0.440769667489871,0.31715210355987056,0.356,0.499
67,0.440855964984203,0.32038834951456313,0.356,0.494
117,0.446023851240737,0.32362459546925565,0.351,0.49
4,0.448311807675853,0.3268608414239482,0.348,0.486
47,0.453831786794062,0.3300970873786408,0.343,0.481
148,0.456734558859337,0.3333333333333333,0.34,0.477
153,0.456956357538304,0.3365695792880259,0.34,0.473
144,0.459411026851314,0.33980582524271846,0.338,0.469
174,0.468285616669264,0.343042071197411,0.329,0.465
96,0.469518154748741,0.34627831715210355,0.328,0.461
190,0.478540154959549,0.34951456310679613,0.32,0.457
119,0.485404449838308,0.35275080906148865,0.314,0.453
73,0.486912701378619,0.3559870550161812,0.313,0.449
118,0.492180970813675,0.3592233009708738,0.308,0.445
209,0.502933100387072,0.36245954692556637,0.298,0.441
78,0.506448127198458,0.3656957928802589,0.295,0.437
211,0.507567780814202,0.36893203883495146,0.295,0.433
72,0.508021418326332,0.37216828478964403,0.294,0.429
103,0.508524212980991,0.37540453074433655,0.294,0.426
24,0.510275539042809,0.3786407766990291,0.292,0.422
