,P,Exp P,Log P,Log Exp P
14,0.004266661,0.047619047619047616,2.37,1.322
6,0.006056642,0.09523809523809523,2.218,1.021
16,0.06588191,0.14285714285714285,1.181,0.845
12,0.1267052,0.19047619047619047,0.897,0.72
2,0.211463,0.23809523809523808,0.675,0.623
10,0.2602965,0.2857142857142857,0.585,0.544
3,0.2641454,0.3333333333333333,0.578,0.477
4,0.4505318,0.38095238095238093,0.346,0.419
5,0.4590381,0.42857142857142855,0.338,0.368
17,0.6112756,0.47619047619047616,0.214,0.322
11,0.6198759,0.5238095238095238,0.208,0.281
9,0.6891299,0.5714285714285714,0.162,0.243
0,0.7438331,0.6190476190476191,0.129,0.208
13,0.7539432,0.6666666666666666,0.123,0.176
19,0.7546541,0.7142857142857143,0.122,0.146
18,0.782902,0.7619047619047619,0.106,0.118
15,0.8099365,0.8095238095238095,0.092,0.092
8,0.8327059,0.8571428571428571,0.08,0.067
7,0.9033072,0.9047619047619048,0.044,0.043
20,0.9478003,0.9523809523809523,0.023,0.021
1,0.99838,1.0,0.001,-0.0
