,P,Exp P,Log P,Log Exp P
28,0.0008281525610927,0.0031645569620253164,3.082,2.5
33,0.0010889082477249,0.006329113924050633,2.963,2.199
207,0.0022416735661826,0.00949367088607595,2.649,2.023
242,0.0045116147017701,0.012658227848101266,2.346,1.898
106,0.0054219875065654,0.015822784810126583,2.266,1.801
38,0.0060947583040928,0.0189873417721519,2.215,1.722
284,0.0125592474836867,0.022151898734177215,1.901,1.655
34,0.0140240721460714,0.02531645569620253,1.853,1.597
82,0.0220283251892212,0.028481012658227847,1.657,1.545
48,0.029627950822718,0.03164556962025317,1.528,1.5
308,0.0324081592059781,0.03481012658227848,1.489,1.458
282,0.0333669820501416,0.0379746835443038,1.477,1.421
126,0.0346624094007635,0.04113924050632911,1.46,1.386
290,0.0352396727476099,0.04430379746835443,1.453,1.354
172,0.0426840459180115,0.04746835443037975,1.37,1.324
64,0.0517394119831989,0.05063291139240506,1.286,1.296
230,0.051892030569253,0.05379746835443038,1.285,1.269
186,0.0524840136788646,0.056962025316455694,1.28,1.244
162,0.0525160468463036,0.060126582278481014,1.28,1.221
137,0.0528659072238601,0.06329113924050633,1.277,1.199
283,0.0582173470643151,0.06645569620253164,1.235,1.177
286,0.0589486225384116,0.06962025316455696,1.23,1.157
291,0.0695835882032943,0.07278481012658228,1.157,1.138
237,0.0698503423172228,0.0759493670886076,1.156,1.119
132,0.0728274735438489,0.07911392405063292,1.138,1.102
105,0.072832731549008,0.08227848101265822,1.138,1.085
301,0.0870006979465732,0.08544303797468354,1.06,1.068
112,0.0883195947576303,0.08860759493670886,1.054,1.053
104,0.0928191475933203,0.09177215189873418,1.032,1.037
293,0.0946516618248648,0.0949367088607595,1.024,1.023
302,0.106305265861347,0.0981012658227848,0.973,1.008
26,0.109748237374913,0.10126582278481013,0.96,0.995
46,0.113607407817979,0.10443037974683544,0.945,0.981
37,0.119673664947175,0.10759493670886076,0.922,0.968
267,0.121472855687549,0.11075949367088607,0.916,0.956
81,0.121509414493667,0.11392405063291139,0.915,0.943
231,0.123899409570964,0.11708860759493671,0.907,0.931
102,0.13105217124035,0.12025316455696203,0.883,0.92
148,0.141992264873928,0.12341772151898735,0.848,0.909
