,P,Exp P,Log P,Log Exp P
15,0.1008461,0.030303030303030304,0.996,1.519
14,0.1261593,0.06060606060606061,0.899,1.217
0,0.1331007,0.09090909090909091,0.876,1.041
2,0.1571415,0.12121212121212122,0.804,0.916
10,0.157764,0.15151515151515152,0.802,0.82
12,0.1655545,0.18181818181818182,0.781,0.74
16,0.1888981,0.21212121212121213,0.724,0.673
22,0.2050118,0.24242424242424243,0.688,0.615
7,0.2281312,0.2727272727272727,0.642,0.564
18,0.2329258,0.30303030303030304,0.633,0.519
32,0.2710594,0.3333333333333333,0.567,0.477
29,0.2710594,0.36363636363636365,0.567,0.439
23,0.315724,0.3939393939393939,0.501,0.405
4,0.327899,0.42424242424242425,0.484,0.372
19,0.367535,0.45454545454545453,0.435,0.342
26,0.4039152,0.48484848484848486,0.394,0.314
5,0.4065685,0.5151515151515151,0.391,0.288
3,0.4082314,0.5454545454545454,0.389,0.263
30,0.5994332,0.5757575757575758,0.222,0.24
28,0.6805628,0.6060606060606061,0.167,0.217
8,0.7432973,0.6363636363636364,0.129,0.196
20,0.7531993,0.6666666666666666,0.123,0.176
17,0.7933028,0.696969696969697,0.101,0.157
21,0.8170621,0.7272727272727273,0.088,0.138
9,0.8247673,0.7575757575757576,0.084,0.121
24,0.8571099,0.7878787878787878,0.067,0.104
27,0.8829881,0.8181818181818182,0.054,0.087
6,0.8871765,0.8484848484848485,0.052,0.071
11,0.8906595,0.8787878787878788,0.05,0.056
1,0.8924971,0.9090909090909091,0.049,0.041
25,0.9092995,0.9393939393939394,0.041,0.027
13,0.9356832,0.9696969696969697,0.029,0.013
31,0.9778657,1.0,0.01,-0.0
