,P,Exp P,Log P,Log Exp P
69,0.0001537832376475,0.0035087719298245615,3.813,2.455
193,0.0046657877633603,0.007017543859649123,2.331,2.154
256,0.0091379605251666,0.010526315789473684,2.039,1.978
108,0.0123538169553827,0.014035087719298246,1.908,1.853
232,0.017788106536872,0.017543859649122806,1.75,1.756
281,0.0230706169242513,0.021052631578947368,1.637,1.677
172,0.0270410860954204,0.02456140350877193,1.568,1.61
181,0.0282383261839842,0.028070175438596492,1.549,1.552
93,0.0291541526651134,0.031578947368421054,1.535,1.501
264,0.0361170456039393,0.03508771929824561,1.442,1.455
2,0.0386137709568452,0.03859649122807018,1.413,1.413
261,0.0393036369044563,0.042105263157894736,1.406,1.376
197,0.0461128013504023,0.0456140350877193,1.336,1.341
58,0.0481199631866478,0.04912280701754386,1.318,1.309
130,0.0486214922197558,0.05263157894736842,1.313,1.279
32,0.049746723842033,0.056140350877192984,1.303,1.251
97,0.0501800644053283,0.05964912280701754,1.299,1.224
41,0.0511019720715664,0.06315789473684211,1.292,1.2
190,0.0514607172342132,0.06666666666666667,1.289,1.176
212,0.0525334530707,0.07017543859649122,1.28,1.154
40,0.0580932950551411,0.07368421052631578,1.236,1.133
96,0.0600687508022875,0.07719298245614035,1.221,1.112
252,0.06209145214165,0.08070175438596491,1.207,1.093
159,0.0623064835515833,0.08421052631578947,1.205,1.075
192,0.0623157222054168,0.08771929824561403,1.205,1.057
195,0.0634195423901043,0.0912280701754386,1.198,1.04
125,0.0757643998360876,0.09473684210526316,1.121,1.023
255,0.0793463120823998,0.09824561403508772,1.1,1.008
196,0.0819679159825343,0.10175438596491228,1.086,0.992
262,0.0854264955509969,0.10526315789473684,1.068,0.978
199,0.0887898427478555,0.10877192982456141,1.052,0.963
224,0.0906909540287078,0.11228070175438597,1.042,0.95
110,0.0915637435138188,0.11578947368421053,1.038,0.936
135,0.0942548920700118,0.11929824561403508,1.026,0.923
171,0.095452553568237,0.12280701754385964,1.02,0.911
246,0.0993556986531635,0.12631578947368421,1.003,0.899
165,0.103684549821956,0.12982456140350876,0.984,0.887
60,0.112616269003815,0.13333333333333333,0.948,0.875
151,0.117072319051881,0.1368421052631579,0.932,0.864
205,0.122125490120293,0.14035087719298245,0.913,0.853
68,0.124303508820287,0.14385964912280702,0.906,0.842
14,0.126948463282489,0.14736842105263157,0.896,0.832
245,0.128341795901126,0.15087719298245614,0.892,0.821
1,0.133981694715458,0.1543859649122807,0.873,0.811
214,0.13753357366765,0.15789473684210525,0.862,0.802
194,0.145821136009435,0.16140350877192983,0.836,0.792
5,0.147616035406265,0.1649122807017544,0.831,0.783
70,0.153729458883095,0.16842105263157894,0.813,0.774
71,0.156526473167914,0.17192982456140352,0.805,0.765
238,0.162198500815517,0.17543859649122806,0.79,0.756
145,0.162554525904703,0.17894736842105263,0.789,0.747
140,0.164380824337206,0.1824561403508772,0.784,0.739
231,0.167002456105711,0.18596491228070175,0.777,0.731
35,0.168497715357063,0.18947368421052632,0.773,0.722
77,0.16880947990795,0.19298245614035087,0.773,0.714
13,0.176339796567193,0.19649122807017544,0.754,0.707
46,0.179153793595815,0.2,0.747,0.699
84,0.185490035741647,0.20350877192982456,0.732,0.691
177,0.187034243287725,0.20701754385964913,0.728,0.684
198,0.188060904515741,0.21052631578947367,0.726,0.677
120,0.191878934936024,0.21403508771929824,0.717,0.67
102,0.193994606361569,0.21754385964912282,0.712,0.662
126,0.199281683776022,0.22105263157894736,0.701,0.656
260,0.201113360783703,0.22456140350877193,0.697,0.649
142,0.203396941082767,0.22807017543859648,0.692,0.642
201,0.205854128753705,0.23157894736842105,0.686,0.635
86,0.209572677945826,0.23508771929824562,0.679,0.629
78,0.210567004161799,0.23859649122807017,0.677,0.622
144,0.21296889884995,0.24210526315789474,0.672,0.616
94,0.216489602377043,0.24561403508771928,0.665,0.61
20,0.216864700854906,0.24912280701754386,0.664,0.604
207,0.221406877512514,0.25263157894736843,0.655,0.598
150,0.22554738333733,0.256140350877193,0.647,0.592
106,0.228133222570901,0.2596491228070175,0.642,0.586
249,0.242289227074672,0.2631578947368421,0.616,0.58
43,0.248073564478133,0.26666666666666666,0.605,0.574
134,0.250431067629478,0.27017543859649124,0.601,0.568
270,0.256091461262306,0.2736842105263158,0.592,0.563
128,0.257394101215227,0.2771929824561403,0.589,0.557
95,0.264008727373316,0.2807017543859649,0.578,0.552
241,0.275573098191357,0.28421052631578947,0.56,0.546
123,0.294057483271181,0.28771929824561404,0.532,0.541
211,0.300437682254614,0.2912280701754386,0.522,0.536
21,0.300613521609546,0.29473684210526313,0.522,0.531
284,0.311816569041299,0.2982456140350877,0.506,0.525
121,0.313857070568985,0.3017543859649123,0.503,0.52
85,0.316447412100354,0.30526315789473685,0.5,0.515
38,0.317280382094432,0.3087719298245614,0.499,0.51
67,0.31915777508529,0.312280701754386,0.496,0.505
250,0.320977471072607,0.3157894736842105,0.494,0.501
132,0.322543632761162,0.3192982456140351,0.491,0.496
56,0.337999906910533,0.32280701754385965,0.471,0.491
118,0.344922882076264,0.3263157894736842,0.462,0.486
29,0.349538209405555,0.3298245614035088,0.457,0.482
114,0.357691547006814,0.3333333333333333,0.446,0.477
234,0.361010622492096,0.3368421052631579,0.442,0.473
133,0.366319642631621,0.34035087719298246,0.436,0.468
240,0.366732906029605,0.34385964912280703,0.436,0.464
184,0.366851790805037,0.3473684210526316,0.436,0.459
136,0.369397475309301,0.3508771929824561,0.433,0.455
141,0.371138156133121,0.3543859649122807,0.43,0.451
44,0.371904894487787,0.35789473684210527,0.43,0.446
185,0.37982590111741,0.36140350877192984,0.42,0.442
175,0.382767236992077,0.3649122807017544,0.417,0.438
273,0.38538926581832,0.3684210526315789,0.414,0.434
148,0.388262017848449,0.3719298245614035,0.411,0.43
166,0.389078915748517,0.37543859649122807,0.41,0.425
209,0.390250318583453,0.37894736842105264,0.409,0.421
280,0.395866825068779,0.3824561403508772,0.402,0.417
8,0.396737874041574,0.38596491228070173,0.401,0.413
244,0.397669869739233,0.3894736842105263,0.4,0.41
282,0.397857752168492,0.3929824561403509,0.4,0.406
210,0.399949641140357,0.39649122807017545,0.398,0.402
160,0.402333382681488,0.4,0.395,0.398
92,0.403724248361755,0.40350877192982454,0.394,0.394
139,0.405241172562675,0.4070175438596491,0.392,0.39
119,0.40821384635633,0.4105263157894737,0.389,0.387
113,0.417539029419386,0.41403508771929826,0.379,0.383
162,0.418872020273172,0.41754385964912283,0.378,0.379
4,0.418880723709658,0.42105263157894735,0.378,0.376
200,0.421936040579165,0.4245614035087719,0.375,0.372
19,0.430378587385852,0.4280701754385965,0.366,0.368
254,0.433297417500037,0.43157894736842106,0.363,0.365
15,0.434723309665876,0.43508771929824563,0.362,0.361
191,0.440421833500349,0.43859649122807015,0.356,0.358
243,0.440428454236377,0.4421052631578947,0.356,0.354
219,0.443341865412336,0.4456140350877193,0.353,0.351
103,0.443503509458417,0.44912280701754387,0.353,0.348
112,0.445284519041291,0.45263157894736844,0.351,0.344
279,0.451875956925946,0.45614035087719296,0.345,0.341
25,0.468125642569778,0.45964912280701753,0.33,0.338
277,0.468318797018984,0.4631578947368421,0.329,0.334
55,0.469275913968787,0.4666666666666667,0.329,0.331
98,0.473320517955726,0.47017543859649125,0.325,0.328
271,0.476983968526716,0.47368421052631576,0.321,0.325
173,0.479633708681872,0.47719298245614034,0.319,0.321
158,0.480772330864522,0.4807017543859649,0.318,0.318
174,0.484940569702034,0.4842105263157895,0.314,0.315
63,0.496278355971896,0.48771929824561405,0.304,0.312
235,0.501864980606835,0.49122807017543857,0.299,0.309
229,0.502532704933983,0.49473684210526314,0.299,0.306
27,0.507790417536103,0.4982456140350877,0.294,0.303
23,0.508651719971669,0.5017543859649123,0.294,0.3
22,0.518413942400677,0.5052631578947369,0.285,0.296
115,0.51884974478359,0.5087719298245614,0.285,0.293
