,P,Exp P,Log P,Log Exp P
14,0.08758488,0.0625,1.058,1.204
0,0.1824547,0.125,0.739,0.903
3,0.25281,0.1875,0.597,0.727
6,0.2721734,0.25,0.565,0.602
12,0.2788152,0.3125,0.555,0.505
4,0.3563979,0.375,0.448,0.426
10,0.4035414,0.4375,0.394,0.359
5,0.4446337,0.5,0.352,0.301
2,0.5736879,0.5625,0.241,0.25
11,0.7528345,0.625,0.123,0.204
7,0.7724578,0.6875,0.112,0.163
1,0.7748287,0.75,0.111,0.125
15,0.8186391,0.8125,0.087,0.09
13,0.8969722,0.875,0.047,0.058
8,0.9538491,0.9375,0.021,0.028
9,0.9779451,1.0,0.01,-0.0
