,P,Exp P,Log P,Log Exp P
277,0.0221867200041639,0.0031645569620253164,1.654,2.5
249,0.022346148908738,0.006329113924050633,1.651,2.199
265,0.0261819563536363,0.00949367088607595,1.582,2.023
244,0.0266829610733809,0.012658227848101266,1.574,1.898
67,0.03168142,0.015822784810126583,1.499,1.801
220,0.0330610839748847,0.0189873417721519,1.481,1.722
137,0.03403597902355,0.022151898734177215,1.468,1.655
178,0.0416748554403042,0.02531645569620253,1.38,1.597
41,0.0457246091869791,0.028481012658227847,1.34,1.545
140,0.0587977586795639,0.03164556962025317,1.231,1.5
308,0.0649556709945067,0.03481012658227848,1.187,1.458
241,0.0653195504571802,0.0379746835443038,1.185,1.421
38,0.0688378056050863,0.04113924050632911,1.162,1.386
276,0.0700347977608479,0.04430379746835443,1.155,1.354
189,0.0741788991872943,0.04746835443037975,1.13,1.324
263,0.0768921834324879,0.05063291139240506,1.114,1.296
123,0.0798838103440132,0.05379746835443038,1.098,1.269
254,0.0851196371801272,0.056962025316455694,1.07,1.244
96,0.0852517719007214,0.060126582278481014,1.069,1.221
105,0.0863784460317501,0.06329113924050633,1.064,1.199
58,0.0877102130949316,0.06645569620253164,1.057,1.177
33,0.0883046849351725,0.06962025316455696,1.054,1.157
21,0.0911931837374085,0.07278481012658228,1.04,1.138
121,0.0927743706830456,0.0759493670886076,1.033,1.119
65,0.0993429839964356,0.07911392405063292,1.003,1.102
27,0.102922435074205,0.08227848101265822,0.987,1.085
216,0.109047994037915,0.08544303797468354,0.962,1.068
302,0.111883446951331,0.08860759493670886,0.951,1.053
150,0.11314293465504,0.09177215189873418,0.946,1.037
170,0.115243988652675,0.0949367088607595,0.938,1.023
122,0.127621004023931,0.0981012658227848,0.894,1.008
133,0.128726496769771,0.10126582278481013,0.89,0.995
19,0.1418035110097,0.10443037974683544,0.848,0.981
152,0.148744185948546,0.10759493670886076,0.828,0.968
275,0.151648822401192,0.11075949367088607,0.819,0.956
57,0.160859356630935,0.11392405063291139,0.794,0.943
289,0.163671191803544,0.11708860759493671,0.786,0.931
99,0.164751836891628,0.12025316455696203,0.783,0.92
55,0.170169976612391,0.12341772151898735,0.769,0.909
87,0.171405853580255,0.12658227848101267,0.766,0.898
208,0.171839483515148,0.12974683544303797,0.765,0.887
84,0.173959959006344,0.13291139240506328,0.76,0.876
18,0.179322833378598,0.1360759493670886,0.746,0.866
13,0.181136196932771,0.13924050632911392,0.742,0.856
142,0.181240089721504,0.14240506329113925,0.742,0.846
255,0.182087257280685,0.14556962025316456,0.74,0.837
6,0.184778858869946,0.14873417721518986,0.733,0.828
1,0.185636444537681,0.1518987341772152,0.731,0.818
229,0.186521123232834,0.1550632911392405,0.729,0.809
95,0.195054054811303,0.15822784810126583,0.71,0.801
39,0.195248102412728,0.16139240506329114,0.709,0.792
107,0.20146532839125,0.16455696202531644,0.696,0.784
0,0.207400673614529,0.16772151898734178,0.683,0.775
132,0.207403845425026,0.17088607594936708,0.683,0.767
72,0.211453381977187,0.17405063291139242,0.675,0.759
3,0.211729171501958,0.17721518987341772,0.674,0.751
194,0.214267910448716,0.18037974683544303,0.669,0.744
7,0.215645620987108,0.18354430379746836,0.666,0.736
168,0.220319959018685,0.18670886075949367,0.657,0.729
108,0.223535410004954,0.189873417721519,0.651,0.722
79,0.227799537573903,0.1930379746835443,0.642,0.714
78,0.231589166644079,0.1962025316455696,0.635,0.707
10,0.231738732688975,0.19936708860759494,0.635,0.7
309,0.236225781727797,0.20253164556962025,0.627,0.694
213,0.240292327907044,0.20569620253164558,0.619,0.687
