,P,Exp P,Log P,Log Exp P
23,0.02361261,0.02702702702702703,1.627,1.568
9,0.04603046,0.05405405405405406,1.337,1.267
30,0.1283598,0.08108108108108109,0.892,1.091
28,0.135585,0.10810810810810811,0.868,0.966
16,0.1704841,0.13513513513513514,0.768,0.869
14,0.1758312,0.16216216216216217,0.755,0.79
12,0.2127914,0.1891891891891892,0.672,0.723
10,0.2337549,0.21621621621621623,0.631,0.665
31,0.2871262,0.24324324324324326,0.542,0.614
7,0.3233323,0.2702702702702703,0.49,0.568
34,0.3455235,0.2972972972972973,0.462,0.527
19,0.3945738,0.32432432432432434,0.404,0.489
22,0.4019905,0.35135135135135137,0.396,0.454
15,0.4481776,0.3783783783783784,0.349,0.422
36,0.4835851,0.40540540540540543,0.316,0.392
2,0.4857321,0.43243243243243246,0.314,0.364
6,0.5147895,0.4594594594594595,0.288,0.338
4,0.5358529,0.4864864864864865,0.271,0.313
32,0.5405615,0.5135135135135135,0.267,0.289
8,0.5982677,0.5405405405405406,0.223,0.267
13,0.6036336,0.5675675675675675,0.219,0.246
1,0.6047038,0.5945945945945946,0.218,0.226
29,0.6416518,0.6216216216216216,0.193,0.206
35,0.642846,0.6486486486486487,0.192,0.188
21,0.6629652,0.6756756756756757,0.179,0.17
20,0.6685351,0.7027027027027027,0.175,0.153
18,0.6763638,0.7297297297297297,0.17,0.137
17,0.6949979,0.7567567567567568,0.158,0.121
25,0.7662349,0.7837837837837838,0.116,0.106
0,0.8443111,0.8108108108108109,0.073,0.091
11,0.8823761,0.8378378378378378,0.054,0.077
24,0.8916107,0.8648648648648649,0.05,0.063
26,0.9054952,0.8918918918918919,0.043,0.05
33,0.9253917,0.918918918918919,0.034,0.037
5,0.932817,0.9459459459459459,0.03,0.024
3,0.9332116,0.972972972972973,0.03,0.012
27,0.9908106,1.0,0.004,-0.0
