cohort,phenotype,grouptest,maf,plot_types,expected_plots_file,plots_file_present
AMR_ALL,T2D,pLoF,maf0-0001,regions.qq,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.pLoF.maf0-0001.regions.qq.png,False
AMR_ALL,T2D,pLoF,maf0-0001,regions.manhattan,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.pLoF.maf0-0001.regions.manhattan.png,False
AMR_ALL,T2D,pLoF,maf0-001,regions.qq,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.pLoF.maf0-001.regions.qq.png,True
AMR_ALL,T2D,pLoF,maf0-001,regions.manhattan,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.pLoF.maf0-001.regions.manhattan.png,True
AMR_ALL,T2D,pLoF,maf0-01,regions.qq,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.pLoF.maf0-01.regions.qq.png,True
AMR_ALL,T2D,pLoF,maf0-01,regions.manhattan,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.pLoF.maf0-01.regions.manhattan.png,True
AMR_ALL,T2D,damaging_missense,maf0-0001,regions.qq,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.damaging_missense.maf0-0001.regions.qq.png,False
AMR_ALL,T2D,damaging_missense,maf0-0001,regions.manhattan,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.damaging_missense.maf0-0001.regions.manhattan.png,False
AMR_ALL,T2D,damaging_missense,maf0-001,regions.qq,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.damaging_missense.maf0-001.regions.qq.png,True
AMR_ALL,T2D,damaging_missense,maf0-001,regions.manhattan,/project/pmbb_codeworks/projects/test_results/exwas_4x4/Plots/AMR_ALL.T2D.damaging_missense.maf0-001.regions.manhattan.png,True
