cohort,phenotype,gene,annot,max_maf,p_value,p_value_burden,p_value_skat,beta_burden,se_burden,mac,mac_case,mac_control,rare_var_count,ultrarare_var_count,analysis_type
EUR_F,BMI_median,ENSG00000003393,pLoF,0.01,1.0925913639402e-06,1.0925913639402e-06,1.0925913639402e-06,0.456970451268333,0.0937532218585032,9.0,,,0.0,8.0,regions
EUR_F,BMI_median,ENSG00000003393,pLoF,0.001,1.0925913639402e-06,1.0925913639402e-06,1.0925913639402e-06,0.456970451268333,0.0937532218585032,9.0,,,0.0,8.0,regions
EUR_F,BMI_median,ENSG00000003393,pLoF,0.0001,1.0925913639402e-06,1.0925913639402e-06,1.0925913639402e-06,0.456970451268333,0.0937532218585032,9.0,,,0.0,8.0,regions
EUR_M,LDL_median,ENSG00000006530,pLoF,0.001,7.87161165409507e-06,7.87161165409507e-06,7.87161165409507e-06,3.24241874481282,0.725593038477668,3.0,,,0.0,3.0,regions
EUR_M,LDL_median,ENSG00000006530,pLoF,0.0001,7.87161165409507e-06,7.87161165409507e-06,7.87161165409507e-06,3.24241874481282,0.725593038477668,3.0,,,0.0,3.0,regions
EUR_M,LDL_median,ENSG00000006530,pLoF,0.01,7.87161165409507e-06,7.87161165409507e-06,7.87161165409507e-06,3.24241874481282,0.725593038477668,3.0,,,0.0,3.0,regions
AFR_ALL,BMI_median,ENSG00000007376,damaging_missense,0.0001,5.86167978270452e-06,5.86167978270452e-06,5.86167978270452e-06,0.521372546465932,0.115059798365565,8.0,,,0.0,6.0,regions
AFR_F,BMI_median,ENSG00000010803,damaging_missense,0.0001,2.41687004355807e-06,2.41687004355807e-06,2.41687004355807e-06,1.60046308985444,0.339439300098081,1.0,,,0.0,1.0,regions
EUR_ALL,LDL_median,ENSG00000016391,damaging_missense,0.0001,5.53527585443209e-06,5.53527585443209e-06,5.53527585443209e-06,1.09943805773634,0.24198548423079,30.0,,,0.0,20.0,regions
AFR_F,LDL_median,ENSG00000035862,other_missense,0.0001,2.79605348843694e-06,2.79605348843694e-06,2.79605348843694e-06,2.13832858663108,0.456394902812915,8.0,,,0.0,9.0,regions
AFR_ALL,BMI_median,ENSG00000044012,other_missense,0.0001,7.62454210162173e-06,7.62454210162173e-06,7.62454210162173e-06,0.347568368442272,0.0776608506517145,18.0,,,0.0,14.0,regions
AFR_ALL,LDL_median,ENSG00000044524,pLoF;damaging_missense,0.0001,4.0584041767093e-06,4.0584041767093e-06,4.0584041767093e-06,2.24593561291011,0.487360220276925,7.0,,,0.0,7.0,regions
AFR_ALL,LDL_median,ENSG00000044524,damaging_missense,0.0001,4.0584041767093e-06,4.0584041767093e-06,4.0584041767093e-06,2.24593561291011,0.487360220276925,7.0,,,0.0,7.0,regions
AFR_M,BMI_median,ENSG00000047056,damaging_missense,0.01,2.43322730145838e-06,2.43322730145838e-06,2.43322730145838e-06,1.36552704631748,0.289696537113329,1.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000047056,damaging_missense,0.001,2.43322730145838e-06,2.43322730145838e-06,2.43322730145838e-06,1.36552704631748,0.289696537113329,1.0,,,0.0,1.0,regions
EUR_ALL,BMI_median,ENSG00000050438,damaging_missense,0.0001,8.17794891781795e-06,8.17794891781795e-06,8.17794891781795e-06,0.187056321191587,0.0419364446684963,36.0,,,0.0,26.0,regions
EUR_M,BMI_median,ENSG00000051128,other_missense,0.001,2.0529149680204e-06,0.0027709270345505,1.37053316295876e-06,0.0601563415007344,0.0201052586205949,168.0,,,3.0,64.0,regions
AFR_M,BMI_median,ENSG00000066027,damaging_missense,0.001,5.05798153863569e-08,5.05798153863569e-08,5.05798153863569e-08,1.57787660746749,0.289557957680247,1.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000066027,damaging_missense,0.01,5.05798153863569e-08,5.05798153863569e-08,5.05798153863569e-08,1.57787660746749,0.289557957680247,1.0,,,0.0,1.0,regions
EUR_ALL,BMI_median,ENSG00000066827,pLoF;damaging_missense,0.01,5.00489580201879e-06,7.74652681911903e-06,1.91624675336399e-05,0.0608285446868651,0.0136018700488682,400.0,,,3.0,28.0,regions
EUR_M,BMI_median,ENSG00000066827,pLoF;damaging_missense,0.01,3.43328135332666e-06,2.76392788373103e-05,3.93940583831576e-06,0.0669130022661037,0.0159617174966704,218.0,,,2.0,21.0,regions
EUR_ALL,BMI_median,ENSG00000066827,damaging_missense,0.01,7.77456041123337e-06,1.12633554296693e-05,2.27257316856022e-05,0.0601657016867686,0.0137008647185999,395.0,,,3.0,23.0,regions
EUR_M,BMI_median,ENSG00000066827,damaging_missense,0.01,3.36318349491993e-06,2.27591744403899e-05,3.71935312304394e-06,0.0679425413169749,0.0160395211892637,216.0,,,2.0,19.0,regions
AFR_M,BMI_median,ENSG00000067082,pLoF;damaging_missense,0.01,2.17159435616047e-06,2.17159435616047e-06,2.17159435616047e-06,0.972918855450979,0.205397433615432,2.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000067082,damaging_missense,0.001,2.17159435616047e-06,2.17159435616047e-06,2.17159435616047e-06,0.972918855450979,0.205397433615432,2.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000067082,damaging_missense,0.01,2.17159435616047e-06,2.17159435616047e-06,2.17159435616047e-06,0.972918855450979,0.205397433615432,2.0,,,0.0,1.0,regions
AFR_M,BMI_median,ENSG00000067082,pLoF;damaging_missense,0.001,2.17159435616047e-06,2.17159435616047e-06,2.17159435616047e-06,0.972918855450979,0.205397433615432,2.0,,,0.0,1.0,regions
